"Geographic code","Geographic name","Province or territory","Incompletely enumerated Indian reserves and Indian settlements, 2016","Population, 2016","Population, 2011","2011 adjusted population flag","Population, % change","Total private dwellings, 2016","Private dwellings occupied by usual residents, 2016","Land area in square kilometres, 2016","Population density per square kilometre, 2016",
"933","Vancouver (Census metropolitan area)","British Columbia",F,2463431,2313328,F,6.5,1027613,960894,2882.68,854.6,
"9330001.01","9330001.01","British Columbia",F,6293,6311,F,-0.3,2334,2314,1.02,6172.0,
"9330001.02","9330001.02","British Columbia",F,5456,4837,F,12.8,2132,2089,1.86,2930.0,
"9330002.01","9330002.01","British Columbia",F,6150,5974,F,2.9,2631,2507,1.94,3169.9,
"9330002.03","9330002.03","British Columbia",F,4077,4005,F,1.8,1497,1292,0.79,5192.3,
"9330002.04","9330002.04","British Columbia",F,4509,4503,F,0.1,1652,1560,0.78,5809.8,
"9330003.01","9330003.01","British Columbia",F,3714,3772,F,-1.5,1210,1080,0.54,6838.5,
"9330003.02","9330003.02","British Columbia",F,4613,4671,F,-1.2,1429,1316,1.12,4128.0,
"9330004.01","9330004.01","British Columbia",F,4925,4514,F,9.1,2537,1928,1.56,3163.9,
"9330004.02","9330004.02","British Columbia",F,5652,5756,F,-1.8,1847,1689,1.18,4777.3,
"9330005.00","9330005.00","British Columbia",F,7302,7207,F,1.3,4444,4326,1.38,5300.1,
"9330006.01","9330006.01","British Columbia",F,4699,4827,F,-2.7,1784,1687,0.92,5121.5,
"9330006.02","9330006.02","British Columbia",F,5233,5441,F,-3.8,1925,1827,1.09,4785.1,
"9330007.01","9330007.01","British Columbia",F,5543,5157,F,7.5,2373,2157,2.68,2070.1,
"9330007.02","9330007.02","British Columbia",F,3452,3705,F,-6.8,1256,1153,1.42,2432.9,
"9330008.01","9330008.01","British Columbia",F,1652,1569,F,5.3,615,578,1.84,898.3,
"9330008.02","9330008.02","British Columbia",F,4200,4287,F,-2.0,1619,1495,3.55,1184.3,
"9330009.00","9330009.00","British Columbia",F,7103,7484,F,-5.1,3440,3199,1.66,4266.6,
"9330010.01","9330010.01","British Columbia",F,5352,4943,F,8.3,2389,2212,1.42,3781.5,
"9330010.02","9330010.02","British Columbia",F,4741,4738,F,0.1,1760,1647,1.39,3403.7,
"9330011.00","9330011.00","British Columbia",F,6615,6645,F,-0.5,2642,2310,1.57,4207.5,
"9330012.00","9330012.00","British Columbia",F,8102,7777,F,4.2,3337,2904,1.54,5251.5,
"9330013.01","9330013.01","British Columbia",F,6485,6346,F,2.2,2398,2155,1.14,5687.1,
"9330013.03","9330013.03","British Columbia",F,4981,4944,F,0.7,1727,1562,0.62,7983.7,
"9330013.04","9330013.04","British Columbia",F,3635,3584,F,1.4,1243,1102,0.48,7614.2,
"9330014.01","9330014.01","British Columbia",F,3084,2983,F,3.4,1117,1015,0.50,6119.0,
"9330014.02","9330014.02","British Columbia",F,5980,6074,F,-1.5,2232,2056,0.81,7410.2,
