DAuid,CSDUID,PR-HRUID,HRNAME,POP2001
59010001,5901048,5911,East Kootenay                                               ,398
59010002,5901048,5911,East Kootenay                                               ,269
59010003,5901048,5911,East Kootenay                                               ,369
59010004,5901048,5911,East Kootenay                                               ,279
59010005,5901048,5911,East Kootenay                                               ,56
59010006,5901040,5911,East Kootenay                                               ,583
59010007,5901048,5911,East Kootenay                                               ,264
59010008,5901046,5911,East Kootenay                                               ,276
59010009,5901039,5911,East Kootenay                                               ,987
59010010,5901039,5911,East Kootenay                                               ,708
59010011,5901039,5911,East Kootenay                                               ,1163
59010012,5901046,5911,East Kootenay                                               ,264
59010013,5901046,5911,East Kootenay                                               ,124
59010014,5901046,5911,East Kootenay                                               ,10
59010015,5901046,5911,East Kootenay                                               ,412
59010016,5901046,5911,East Kootenay                                               ,250
59010017,5901804,5911,East Kootenay                                               ,33
59010018,5901804,5911,East Kootenay                                               ,132
59010019,5901046,5911,East Kootenay                                               ,207
59010020,5901806,5911,East Kootenay                                               ,66
59010021,5901806,5911,East Kootenay                                               ,110
59010022,5901046,5911,East Kootenay                                               ,60
59010023,5901046,5911,East Kootenay                                               ,75
59010024,5901046,5911,East Kootenay                                               ,429
59010025,5901046,5911,East Kootenay                                               ,289
59010026,5901046,5911,East Kootenay                                               ,100
59010027,5901046,5911,East Kootenay                                               ,5
59010028,5901046,5911,East Kootenay                                               ,709
59010029,5901037,5911,East Kootenay                                               ,373
59010030,5901037,5911,East Kootenay                                               ,166
59010031,5901037,5911,East Kootenay                                               ,259
59010032,5901037,5911,East Kootenay                                               ,140
59010033,5901807,5911,East Kootenay                                               ,0
59010034,5901035,5911,East Kootenay                                               ,342
59010035,5901803,5911,East Kootenay                                               ,166
59010036,5901035,5911,East Kootenay                                               ,0
59010037,5901035,5911,East Kootenay                                               ,597
59010038,5901035,5911,East Kootenay                                               ,199
59010039,5901035,5911,East Kootenay                                               ,103
59010040,5901035,5911,East Kootenay                                               ,739
59010041,5901035,5911,East Kootenay                                               ,592
59010042,5901022,5911,East Kootenay                                               ,788
59010043,5901022,5911,East Kootenay                                               ,1191
59010044,5901022,5911,East Kootenay                                               ,828
59010045,5901022,5911,East Kootenay                                               ,804
59010046,5901022,5911,East Kootenay                                               ,894
59010047,5901022,5911,East Kootenay                                               ,1090
59010048,5901022,5911,East Kootenay                                               ,1138
59010049,5901022,5911,East Kootenay                                               ,1146
59010050,5901022,5911,East Kootenay                                               ,1416
59010051,5901035,5911,East Kootenay                                               ,1195
59010052,5901035,5911,East Kootenay                                               ,702
59010053,5901022,5911,East Kootenay                                               ,1469
59010054,5901022,5911,East Kootenay                                               ,1384
59010055,5901022,5911,East Kootenay                                               ,789
59010056,5901022,5911,East Kootenay                                               ,0
59010057,5901022,5911,East Kootenay                                               ,779
59010058,5901022,5911,East Kootenay                                               ,667
59010059,5901022,5911,East Kootenay                                               ,832
59010060,5901022,5911,East Kootenay                                               ,546
59010061,5901022,5911,East Kootenay                                               ,923
59010062,5901035,5911,East Kootenay                                               ,162
59010063,5901022,5911,East Kootenay                                               ,820
59010064,5901022,5911,East Kootenay                                               ,664
59010065,5901035,5911,East Kootenay                                               ,280
59010066,5901035,5911,East Kootenay                                               ,15
59010067,5901035,5911,East Kootenay                                               ,343
59010068,5901802,5911,East Kootenay                                               ,0
59010069,5901805,5911,East Kootenay                                               ,5
59010070,5901019,5911,East Kootenay                                               ,180
59010071,5901019,5911,East Kootenay                                               ,498
59010072,5901019,5911,East Kootenay                                               ,333
59010073,5901019,5911,East Kootenay                                               ,92
59010074,5901019,5911,East Kootenay                                               ,551
59010075,5901017,5911,East Kootenay                                               ,290
59010076,5901012,5911,East Kootenay                                               ,679
59010077,5901012,5911,East Kootenay                                               ,780
59010078,5901012,5911,East Kootenay                                               ,624
59010079,5901012,5911,East Kootenay                                               ,876
59010080,5901012,5911,East Kootenay                                               ,762
59010081,5901017,5911,East Kootenay                                               ,5
59010082,5901017,5911,East Kootenay                                               ,386
59010083,5901012,5911,East Kootenay                                               ,0
59010084,5901012,5911,East Kootenay                                               ,890
59010085,5901017,5911,East Kootenay                                               ,268
59010086,5901017,5911,East Kootenay                                               ,275
59010087,5901017,5911,East Kootenay                                               ,123
59010088,5901006,5911,East Kootenay                                               ,278
59010089,5901006,5911,East Kootenay                                               ,906
59010090,5901006,5911,East Kootenay                                               ,697
59010091,5901006,5911,East Kootenay                                               ,651
59010092,5901006,5911,East Kootenay                                               ,0
59010093,5901017,5911,East Kootenay                                               ,404
59010094,5901003,5911,East Kootenay                                               ,0
59010095,5901006,5911,East Kootenay                                               ,0
59010096,5901006,5911,East Kootenay                                               ,1280
59010097,5901003,5911,East Kootenay                                               ,820
59010098,5901003,5911,East Kootenay                                               ,582
