"","DAuid","CSDUID","PR.HRUID","HRNAME","POP2001","CTname"
"1",59151834,5915020,5923,"Fraser South                                                ",109,9330251
"2",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
"3",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
"4",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
"5",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
"6",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
"7",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
"8",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
"9",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
"10",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
"11",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
"12",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
"13",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
"14",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
"15",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
"16",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
"17",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
"18",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
"19",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
"20",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
"21",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
"22",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
"23",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
"24",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
"25",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
"26",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
"27",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
"28",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
"29",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
"30",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
"31",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
"32",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
"33",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
"34",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
"35",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
"36",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
"37",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
"38",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
"39",59151837,5915004,5923,"Fraser South                                                ",942,9330188.06
