"","CTname","X.1","PostCode","ID..","X","CDuid","SAC","FED96uid","FSA","DAuid","Block","Lat","Long","SLI","PR","CSD","CSDname","CSDtype","CCS","SACtype","ER","DPL","UARA","UARAtype","Rep_Point","PCtype","Comm_Name","DMT","H_DMT","Birth_Date","Ref_Date","FED96name","SACname","CDname","ï..CENSUS_YEAR","GEO_CODE..POR.","GEO_LEVEL","GNR","DATA_QUALITY_FLAG","ALT_GEO_CODE","DIM..Household.type.including.census.family.structure..11.","a","Notes..Household.type.including.census.family.structure..11.","Dim..Household.income.statistics..3...Member.ID...1...Total...Household.income.statistics..Note..3.","Dim..Household.income.statistics..3...Member.ID...2...Median.total.income.of.households....","Dim..Household.income.statistics..3...Member.ID...3...Median.after.tax.income.of.households...."
"1",160.01,976,"V4L1Z5",276,77621,5915,933,59003,"V4L",59152747,3,49.011968,-123.068697,1,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330160.01,2,2.4,0,933016001,"Census family households",2,NA,"1395","136448","112213"
"2",160.01,989,"V4M2W9",284,79637,5915,933,59003,"V4M",59152741,3,49.002734,-123.08161,0,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330160.01,2,2.4,0,933016001,"Census family households",2,NA,"1395","136448","112213"
"3",160.01,990,"V4M2W9",284,138685,5915,933,59003,"V4M",59152741,3,49.004003,-123.080036,1,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330160.01,2,2.4,0,933016001,"Census family households",2,NA,"1395","136448","112213"
"4",160.01,988,"V4M2R2",283,50038,5915,933,59003,"V4M",59152738,1,49.010743,-123.086138,1,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330160.01,2,2.4,0,933016001,"Census family households",2,NA,"1395","136448","112213"
"5",160.01,993,"V4M3Y6",286,46829,5915,933,59003,"V4M",59152743,4,49.003663,-123.071674,0,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330160.01,2,2.4,0,933016001,"Census family households",2,NA,"1395","136448","112213"
"6",160.01,994,"V4M3Y6",286,76352,5915,933,59003,"V4M",59152743,4,49.003664,-123.0714,1,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330160.01,2,2.4,0,933016001,"Census family households",2,NA,"1395","136448","112213"
"7",160.01,979,"V4M1E5",290,49198,5915,933,59003,"V4M",59152744,5,49.006351,-123.075488,1,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330160.01,2,2.4,0,933016001,"Census family households",2,NA,"1395","136448","112213"
"8",160.02,978,"V4L2M2",278,79115,5915,933,59003,"V4L",59152758,1,49.032664,-123.068406,1,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","B","B",19880901,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330160.02,2,2.9,0,933016002,"Census family households",2,NA,"2165","113690","96683"
"9",160.02,977,"V4L2B1",277,47029,5915,933,59003,"V4L",59152758,1,49.032664,-123.068406,1,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330160.02,2,2.9,0,933016002,"Census family households",2,NA,"2165","113690","96683"
"10",160.03,991,"V4M2Y8",285,45872,5915,933,59003,"V4M",59152735,2,49.016535,-123.079734,1,59,11,"Delta","DM",11,1,20,9959,973,1,1,1,"DELTA","A","A",19830401,19000001,"Delta - South Richmond","Vancouver","Greater Vancouver Regional District",2016,9330160.03,2,3.2,0,933016003,"Census family households",2,NA,"1630","121344","101490"
