"","PostCode","ID..","X","CDuid","SAC","FED96uid","FSA","DAuid","Block","Lat","Long","SLI","PR","CSD","CSDname","CSDtype","CCS","SACtype","CTname","ER","DPL","UARA","UARAtype","Rep_Point","PCtype","Comm_Name","DMT","H_DMT","Birth_Date","Ref_Date","FED96name","SACname","CDname"
"1","V1M1V5",1,94949,5915,933,59010,"V1M",59152421,1,49.174234,-122.638499,1,59,1,"Langley","DM",1,1,504.03,20,9959,1253,2,1,1,"LANGLEY","Z","A",19850401,19930101,"Langley - Abbotsford","Vancouver","Greater Vancouver Regional District"
"2","V1M1X9",2,93934,5915,933,59010,"V1M",59152418,0,49.170746,-122.627326,0,59,1,"Langley","DM",1,1,504.03,20,9959,0,0,3,1,"LANGLEY","Z","A",19860301,19930101,"Langley - Abbotsford","Vancouver","Greater Vancouver Regional District"
"3","V1M1X9",2,93933,5915,933,59010,"V1M",59152417,0,49.167592,-122.632697,0,59,1,"Langley","DM",1,1,504.03,20,9959,0,0,3,1,"LANGLEY","Z","A",19860301,19930101,"Langley - Abbotsford","Vancouver","Greater Vancouver Regional District"
"4","V1M1X9",2,93932,5915,933,59010,"V1M",59152411,0,49.163545,-122.630661,1,59,1,"Langley","DM",1,1,504.03,20,9959,0,0,3,1,"LANGLEY","Z","A",19860301,19930101,"Langley - Abbotsford","Vancouver","Greater Vancouver Regional District"
"5","V1M2G4",3,79691,5915,933,59010,"V1M",59152408,2,49.157663,-122.627644,0,59,1,"Langley","DM",1,1,504.04,20,9959,1253,2,1,1,"LANGLEY","A","A",19900101,19000001,"Langley - Abbotsford","Vancouver","Greater Vancouver Regional District"
"6","V1M2G4",3,106298,5915,933,59010,"V1M",59152408,2,49.158441,-122.62758,0,59,1,"Langley","DM",1,1,504.04,20,9959,1253,2,1,1,"LANGLEY","A","A",19900101,19000001,"Langley - Abbotsford","Vancouver","Greater Vancouver Regional District"
"7","V1M2G4",3,95361,5915,933,59010,"V1M",59152408,1,49.157798,-122.628529,0,59,1,"Langley","DM",1,1,504.04,20,9959,1253,2,1,1,"LANGLEY","A","A",19900101,19000001,"Langley - Abbotsford","Vancouver","Greater Vancouver Regional District"
"8","V1M2G4",3,107388,5915,933,59010,"V1M",59152408,1,49.158504,-122.627837,1,59,1,"Langley","DM",1,1,504.04,20,9959,1253,2,1,1,"LANGLEY","A","A",19900101,19000001,"Langley - Abbotsford","Vancouver","Greater Vancouver Regional District"
"9","V1M2G4",3,80341,5915,933,59010,"V1M",59152408,2,49.157812,-122.627489,0,59,1,"Langley","DM",1,1,504.04,20,9959,1253,2,1,1,"LANGLEY","A","A",19900101,19000001,"Langley - Abbotsford","Vancouver","Greater Vancouver Regional District"
"10","V1M2G4",3,80058,5915,933,59010,"V1M",59152408,2,49.157297,-122.628421,0,59,1,"Langley","DM",1,1,504.04,20,9959,1253,2,1,1,"LANGLEY","A","A",19900101,19000001,"Langley - Abbotsford","Vancouver","Greater Vancouver Regional District"
"11","V1M2K7",4,106431,5915,933,59010,"V1M",59152407,1,49.154887,-122.628644,0,59,1,"Langley","DM",1,1,504.04,20,9959,1253,2,1,1,"LANGLEY","A","A",19911201,19000001,"Langley - Abbotsford","Vancouver","Greater Vancouver Regional District"
"12","V1M2K7",4,149623,5915,933,59010,"V1M",59152407,1,49.155541,-122.62847,0,59,1,"Langley","DM",1,1,504.04,20,9959,1253,2,1,1,"LANGLEY","A","A",19911201,19000001,"Langley - Abbotsford","Vancouver","Greater Vancouver Regional District"
"13","V1M2K7",4,95500,5915,933,59010,"V1M",59152407,2,49.156221,-122.627434,0,59,1,"Langley","DM",1,1,504.04,20,9959,1253,2,1,1,"LANGLEY","A","A",19911201,19000001,"Langley - Abbotsford","Vancouver","Greater Vancouver Regional District"
"14","V1M2K7",4,103153,5915,933,59010,"V1M",59152407,2,49.154953,-122.628389,0,59,1,"Langley","DM",1,1,504.04,20,9959,1253,2,1,1,"LANGLEY","A","A",19911201,19000001,"Langley - Abbotsford","Vancouver","Greater Vancouver Regional District"
"15","V1M2K7",4,103273,5915,933,59010,"V1M",59152407,2,49.155514,-122.628199,0,59,1,"Langley","DM",1,1,504.04,20,9959,1253,2,1,1,"LANGLEY","A","A",19911201,19000001,"Langley - Abbotsford","Vancouver","Greater Vancouver Regional District"
"16","V1M2K7",4,103640,5915,933,59010,"V1M",59152407,2,49.154871,-122.627057,0,59,1,"Langley","DM",1,1,504.04,20,9959,1253,2,1,1,"LANGLEY","A","A",19911201,19000001,"Langley - Abbotsford","Vancouver","Greater Vancouver Regional District"
"17","V1M2K7",4,103520,5915,933,59010,"V1M",59152408,2,49.157062,-122.62631,1,59,1,"Langley","DM",1,1,504.04,20,9959,1253,2,1,1,"LANGLEY","A","A",19911201,19000001,"Langley - Abbotsford","Vancouver","Greater Vancouver Regional District"
"18","V1M2K7",4,80565,5915,933,59010,"V1M",59152408,2,49.156077,-122.628868,0,59,1,"Langley","DM",1,1,504.04,20,9959,1253,2,1,1,"LANGLEY","A","A",19911201,19000001,"Langley - Abbotsford","Vancouver","Greater Vancouver Regional District"
"19","V1M2S2",5,155293,5915,933,59010,"V1M",59152489,6,49.168269,-122.585715,0,59,1,"Langley","DM",1,1,505,20,9959,1074,2,2,3,"LANGLEY","Z","K",19940501,19940501,"Langley - Abbotsford","Vancouver","Greater Vancouver Regional District"
"20","V1M2S2",5,79480,5915,933,59010,"V1M",59152489,11,49.165561,-122.591787,0,59,1,"Langley","DM",1,1,505,20,9959,1074,2,2,3,"LANGLEY","Z","K",19940501,19940501,"Langley - Abbotsford","Vancouver","Greater Vancouver Regional District"
"21","V1M2S2",5,155539,5915,933,59010,"V1M",59152488,16,49.166146,-122.585328,0,59,1,"Langley","DM",1,1,505,20,9959,1074,2,2,3,"LANGLEY","K","K",19950101,19000001,"Langley - Abbotsford","Vancouver","Greater Vancouver Regional District"
"22","V1M2S2",5,80495,5915,933,59010,"V1M",59152488,9,49.167231,-122.579023,0,59,1,"Langley","DM",1,1,505,20,9959,1074,2,2,3,"LANGLEY","K","K",19950101,19000001,"Langley - Abbotsford","Vancouver","Greater Vancouver Regional District"
"23","V1M2S2",5,80698,5915,933,59010,"V1M",59152488,7,49.167373,-122.577098,0,59,1,"Langley","DM",1,1,505,20,9959,1074,2,2,3,"LANGLEY","K","K",19950101,19000001,"Langley - Abbotsford","Vancouver","Greater Vancouver Regional District"
"24","V1M2S2",5,80731,5915,933,59010,"V1M",59152488,3,49.167004,-122.555247,0,59,1,"Langley","DM",1,1,505,20,9959,1074,2,2,3,"LANGLEY","K","K",19950101,19000001,"Langley - Abbotsford","Vancouver","Greater Vancouver Regional District"
"25","V1M2S2",5,80457,5915,933,59010,"V1M",59152489,15,49.170271,-122.579096,0,59,1,"Langley","DM",1,1,505,20,9959,1074,2,2,3,"LANGLEY","Z","K",19940501,19940501,"Langley - Abbotsford","Vancouver","Greater Vancouver Regional District"
"26","V1M2S2",5,80213,5915,933,59010,"V1M",59152489,13,49.162122,-122.592061,0,59,1,"Langley","DM",1,1,505,20,9959,1074,2,2,3,"LANGLEY","Z","K",19940501,19940501,"Langley - Abbotsford","Vancouver","Greater Vancouver Regional District"
"27","V1M2S2",5,80450,5915,933,59010,"V1M",59152488,14,49.166287,-122.574821,0,59,1,"Langley","DM",1,1,505,20,9959,1074,2,2,3,"LANGLEY","K","K",19950101,19000001,"Langley - Abbotsford","Vancouver","Greater Vancouver Regional District"
"28","V1M2S2",5,80697,5915,933,59010,"V1M",59152488,8,49.16828,-122.577972,0,59,1,"Langley","DM",1,1,505,20,9959,1074,2,2,3,"LANGLEY","K","K",19950101,19000001,"Langley - Abbotsford","Vancouver","Greater Vancouver Regional District"
"29","V1M2S2",5,149617,5915,933,59010,"V1M",59152488,5,49.168234,-122.574674,0,59,1,"Langley","DM",1,1,505,20,9959,1074,2,2,3,"LANGLEY","K","K",19950101,19000001,"Langley - Abbotsford","Vancouver","Greater Vancouver Regional District"
"30","V1M2S2",5,80209,5915,933,59010,"V1M",59152489,8,49.168911,-122.591503,0,59,1,"Langley","DM",1,1,505,20,9959,1074,2,2,3,"LANGLEY","Z","K",19940501,19940501,"Langley - Abbotsford","Vancouver","Greater Vancouver Regional District"
