"","CTname","Freq","ï..CENSUS_YEAR","GEO_CODE..POR.","GEO_LEVEL","GNR","DATA_QUALITY_FLAG","ALT_GEO_CODE","DIM..Household.type.including.census.family.structure..11.","a","Notes..Household.type.including.census.family.structure..11.","Dim..Household.income.statistics..3...Member.ID...1...Total...Household.income.statistics..Note..3.","Dim..Household.income.statistics..3...Member.ID...2...Median.total.income.of.households....","Dim..Household.income.statistics..3...Member.ID...3...Median.after.tax.income.of.households...."
"1","160.01",7,2016,9330160.01,2,2.4,0,933016001,"Total - Household type including census family structure",1,1,"1660","118944","99686"
"2","160.01",7,2016,9330160.01,2,2.4,0,933016001,"Other census family households",10,2,"105","149760","126720"
"3","160.01",7,2016,9330160.01,2,2.4,0,933016001,"Non-census-family households",11,NA,"265","54592","45952"
"4","160.01",7,2016,9330160.01,2,2.4,0,933016001,"One couple census family without other persons in the household",4,NA,"1200","139264","115405"
"5","160.01",7,2016,9330160.01,2,2.4,0,933016001,"One lone-parent census family without other persons in the household",7,NA,"85","78592","64640"
"6","160.01",7,2016,9330160.01,2,2.4,0,933016001,"Without children",5,NA,"550","104704","90027"
"7","160.01",7,2016,9330160.01,2,2.4,0,933016001,"With a female lone parent",9,NA,"60","68352","60288"
"8","160.01",7,2016,9330160.01,2,2.4,0,933016001,"With a male lone parent",8,NA,"30","95232","80896"
"9","160.01",7,2016,9330160.01,2,2.4,0,933016001,"Census family households",2,NA,"1395","136448","112213"
"10","160.01",7,2016,9330160.01,2,2.4,0,933016001,"One-census-family households without additional persons",3,NA,"1290","135424","111360"
"11","160.01",7,2016,9330160.01,2,2.4,0,933016001,"With children",6,NA,"650","163456","134377"
"12","160.02",2,2016,9330160.02,2,2.9,0,933016002,"Total - Household type including census family structure",1,1,"3125","88704","76000"
"13","160.02",2,2016,9330160.02,2,2.9,0,933016002,"Census family households",2,NA,"2165","113690","96683"
"14","160.02",2,2016,9330160.02,2,2.9,0,933016002,"Without children",5,NA,"1075","102912","86528"
"15","160.02",2,2016,9330160.02,2,2.9,0,933016002,"Non-census-family households",11,NA,"960","45867","39765"
"16","160.02",2,2016,9330160.02,2,2.9,0,933016002,"Other census family households",10,2,"110","154453","127232"
"17","160.02",2,2016,9330160.02,2,2.9,0,933016002,"With a female lone parent",9,NA,"180","62592","54080"
"18","160.02",2,2016,9330160.02,2,2.9,0,933016002,"With a male lone parent",8,NA,"40","84352","74496"
"19","160.02",2,2016,9330160.02,2,2.9,0,933016002,"With children",6,NA,"760","150528","126208"
"20","160.02",2,2016,9330160.02,2,2.9,0,933016002,"One-census-family households without additional persons",3,NA,"2055","111744","94976"
"21","160.02",2,2016,9330160.02,2,2.9,0,933016002,"One couple census family without other persons in the household",4,NA,"1835","118835","100817"
"22","160.02",2,2016,9330160.02,2,2.9,0,933016002,"One lone-parent census family without other persons in the household",7,NA,"220","64128","55296"
"23","160.03",11,2016,9330160.03,2,3.2,0,933016003,"With children",6,NA,"715","152576","126208"
"24","160.03",11,2016,9330160.03,2,3.2,0,933016003,"Census family households",2,NA,"1630","121344","101490"
"25","160.03",11,2016,9330160.03,2,3.2,0,933016003,"Other census family households",10,2,"135","155477","132352"
"26","160.03",11,2016,9330160.03,2,3.2,0,933016003,"Total - Household type including census family structure",1,1,"2050","101696","86766"
