CTname,AveInc
0001.01 (933000101)  00000,26996
0001.02 (933000102)  00010,27674
0002.01 (933000201)  00000,29846
0002.02 (933000202)  00000,27980
0003.01 (933000301)  00001,21546
0003.02 (933000302)  00001,18868
0004.01 (933000401)  00001,24166
0004.02 (933000402)  01011,20046
0005.00 (933000500)  00000,25109
0006.01 (933000601)  00001,28098
0006.02 (933000602)  00001,24609
0007.01 (933000701)  00001,40558
0007.02 (933000702)  00001,48960
0008.00 (933000800)  00010,76133
0009.00 (933000900)  00000,41376
0010.01 (933001001)  00000,35274
0010.02 (933001002)  00000,36779
0011.00 (933001100)  00000,24378
0012.00 (933001200)  00000,23799
0013.01 (933001301)  00000,20526
0013.02 (933001302)  00000,20715
0014.00 (933001400)  00000,21195
0015.01 (933001501)  00000,23154
0015.02 (933001502)  00000,22155
0016.01 (933001601)  00000,19926
0016.03 (933001603)  00001,21206
0016.04 (933001604)  00001,21834
0017.01 (933001701)  00000,22032
0017.02 (933001702)  00000,19747
0018.01 (933001801)  00000,21529
0018.02 (933001802)  00000,24086
0019.00 (933001900)  00000,28444
0020.00 (933002000)  00000,38506
0021.00 (933002100)  00000,74543
0022.00 (933002200)  00000,39823
0023.00 (933002300)  00000,44871
0024.00 (933002400)  00000,50942
0025.00 (933002500)  00000,41629
0026.00 (933002600)  00000,58891
0027.00 (933002700)  00000,39987
0028.00 (933002800)  00000,45988
0029.00 (933002900)  00000,36222
0030.00 (933003000)  00000,24308
0031.01 (933003101)  00000,33962
0031.02 (933003102)  00000,24205
0032.00 (933003200)  00000,23690
0033.00 (933003300)  00000,22865
0034.01 (933003401)  00000,20741
0034.02 (933003402)  00000,21429
0035.01 (933003501)  00000,21785
0035.02 (933003502)  00000,22636
0036.01 (933003601)  00000,21451
0036.02 (933003602)  00000,22637
0037.01 (933003701)  00001,21853
0037.02 (933003702)  01011,22034
0038.00 (933003800)  00000,22559
0039.01 (933003901)  00000,35483
0039.02 (933003902)  00000,34707
0040.01 (933004001)  00001,34212
0040.02 (933004002)  00001,35415
0041.01 (933004101)  01001,40810
0041.02 (933004102)  00001,44662
0042.00 (933004200)  00000,37370
0043.01 (933004301)  00001,41574
0043.02 (933004302)  00001,50266
0044.00 (933004400)  00000,65173
0045.01 (933004501)  00000,57354
0045.02 (933004502)  00000,37090
0046.00 (933004600)  00000,34225
0047.01 (933004701)  00001,46392
0047.02 (933004702)  01001,38919
0048.00 (933004800)  00000,38721
0049.01 (933004901)  00000,45970
0049.02 (933004902)  00000,46196
0050.02 (933005002)  00000,21616
0050.03 (933005003)  00001,24799
0050.04 (933005004)  00001,20168
0051.00 (933005100)  00000,23048
0052.01 (933005201)  00000,19780
0052.02 (933005202)  00000,23935
0053.01 (933005301)  00001,23218
0053.02 (933005302)  00001,28652
0054.01 (933005401)  00001,24561
0054.02 (933005402)  00001,23657
0055.01 (933005501)  01000,21563
0055.02 (933005502)  00000,27383
0056.01 (933005601)  00001,19269
0056.02 (933005602)  01001,26296
0057.01 (933005701)  00011,13348
0057.02 (933005702)  00001,17432
0058.00 (933005800)  01020,13819
0059.03 (933005903)  00001,49309
0059.04 (933005904)  01011,32173
0059.05 (933005905)  01011,33504
0059.06 (933005906)  01001,17639
0060.01 (933006001)  00001,31545
0060.02 (933006002)  01001,31442
0061.00 (933006100)  01000,31442
0062.00 (933006200)  01000,41096
0063.00 (933006300)  00000,31341
0064.00 (933006400)  00000,29299
0065.00 (933006500)  00000,27008
0066.00 (933006600)  01000,40360
0067.00 (933006700)  00000,30348
0068.00 (933006800)  01010,38056
0069.00 (933006900)  01010,36871
0100.01 (933010001)  00000,35389
0100.02 (933010002)  00000,31006
0101.01 (933010101)  00000,29696
0101.02 (933010102)  00000,30606
0102.00 (933010200)  00010,30964
0103.00 (933010300)  00000,29987
0104.00 (933010400)  00000,32353
0110.01 (933011001)  00001,48732
0110.02 (933011002)  00001,43614
0111.01 (933011101)  00000,34537
0111.02 (933011102)  00000,43186
0111.03 (933011103)  00000,32021
0112.00 (933011200)  00000,35441
0113.00 (933011300)  00000,32245
0114.00 (933011400)  00000,37671
0115.00 (933011500)  00000,33975
0116.00 (933011600)  00000,46213
0117.00 (933011700)  00000,45168
0118.00 (933011800)  00001,31491
0119.00 (933011900)  00000,42918
0120.00 (933012000)  00000,43323
0121.00 (933012100)  00000,54852
0122.00 (933012200)  00000,49691
0130.01 (933013001)  00000,48835
0130.02 (933013002)  00011,33379
0131.00 (933013100)  00000,49713
0132.00 (933013200)  00000,93379
0133.01 (933013301)  00001,53519
0133.02 (933013302)  00001,81197
0134.00 (933013400)  00000,59206
0135.00 (933013500)  00000,65587
0140.02 (933014002)  00000,39617
0140.03 (933014003)  00001,29919
0140.04 (933014004)  00001,27600
0141.00 (933014100)  00000,33957
0142.01 (933014201)  00000,31366
0142.02 (933014202)  00000,31230
0142.03 (933014203)  00000,28892
0143.01 (933014301)  00000,29382
0143.02 (933014302)  00000,26508
0143.03 (933014303)  00000,28522
0143.04 (933014304)  00000,28670
