CTname,EduPop
0001.01 (933000101)  00000,4625
0001.02 (933000102)  00010,2620
0002.01 (933000201)  00000,4370
0002.02 (933000202)  00000,5430
0003.01 (933000301)  00001,2440
0003.02 (933000302)  00001,3180
0004.01 (933000401)  00001,3005
0004.02 (933000402)  01011,3840
0005.00 (933000500)  00000,5845
0006.01 (933000601)  00001,3420
0006.02 (933000602)  00001,3595
0007.01 (933000701)  00001,3760
0007.02 (933000702)  00001,2685
0008.00 (933000800)  00010,3935
0009.00 (933000900)  00000,5595
0010.01 (933001001)  00000,3635
0010.02 (933001002)  00000,3510
0011.00 (933001100)  00000,4515
0012.00 (933001200)  00000,5715
0013.01 (933001301)  00000,4535
0013.02 (933001302)  00000,5615
0014.00 (933001400)  00000,6125
0015.01 (933001501)  00000,3525
0015.02 (933001502)  00000,3990
0016.01 (933001601)  00000,3365
0016.03 (933001603)  00001,5365
0016.04 (933001604)  00001,5160
0017.01 (933001701)  00000,4620
0017.02 (933001702)  00000,4625
0018.01 (933001801)  00000,4535
0018.02 (933001802)  00000,4840
0019.00 (933001900)  00000,4110
0020.00 (933002000)  00000,1870
0021.00 (933002100)  00000,3030
0022.00 (933002200)  00000,2445
0023.00 (933002300)  00000,3160
0024.00 (933002400)  00000,4375
0025.00 (933002500)  00000,5355
0026.00 (933002600)  00000,3715
0027.00 (933002700)  00000,5115
0028.00 (933002800)  00000,2480
0029.00 (933002900)  00000,4610
0030.00 (933003000)  00000,5105
0031.01 (933003101)  00000,4445
0031.02 (933003102)  00000,3600
0032.00 (933003200)  00000,5665
0033.00 (933003300)  00000,5820
0034.01 (933003401)  00000,3700
0034.02 (933003402)  00000,4785
0035.01 (933003501)  00000,3070
0035.02 (933003502)  00000,5460
0036.01 (933003601)  00000,4225
0036.02 (933003602)  00000,3945
0037.01 (933003701)  00001,4080
0037.02 (933003702)  01011,2955
0038.00 (933003800)  00000,3850
0039.01 (933003901)  00000,4805
0039.02 (933003902)  00000,4070
0040.01 (933004001)  00001,3345
0040.02 (933004002)  00001,3960
0041.01 (933004101)  01001,3870
0041.02 (933004102)  00001,4835
0042.00 (933004200)  00000,4785
0043.01 (933004301)  00001,2955
0043.02 (933004302)  00001,3215
0044.00 (933004400)  00000,3830
0045.01 (933004501)  00000,4185
0045.02 (933004502)  00000,4465
0046.00 (933004600)  00000,4490
0047.01 (933004701)  00001,3245
0047.02 (933004702)  01001,3895
0048.00 (933004800)  00000,5820
0049.01 (933004901)  00000,4650
0049.02 (933004902)  00000,5020
0050.02 (933005002)  00000,5235
0050.03 (933005003)  00001,4200
0050.04 (933005004)  00001,2975
0051.00 (933005100)  00000,5830
0052.01 (933005201)  00000,4175
0052.02 (933005202)  00000,4750
0053.01 (933005301)  00001,4950
0053.02 (933005302)  00001,2445
0054.01 (933005401)  00001,3150
0054.02 (933005402)  00001,3315
0055.01 (933005501)  01000,4245
0055.02 (933005502)  00000,3840
0056.01 (933005601)  00001,3445
0056.02 (933005602)  01001,3710
