CTname,HomeOwn
0001.01 (933000101)  00000,1155
0001.02 (933000102)  00010,755
0002.01 (933000201)  00000,1345
0002.02 (933000202)  00000,1555
0003.01 (933000301)  00001,560
0003.02 (933000302)  00001,575
0004.01 (933000401)  00001,865
0004.02 (933000402)  01011,825
0005.00 (933000500)  00000,290
0006.01 (933000601)  00001,1025
0006.02 (933000602)  00001,895
0007.01 (933000701)  00001,1245
0007.02 (933000702)  00001,880
0008.00 (933000800)  00010,1180
0009.00 (933000900)  00000,1480
0010.01 (933001001)  00000,1020
0010.02 (933001002)  00000,865
0011.00 (933001100)  00000,1215
0012.00 (933001200)  00000,1525
0013.01 (933001301)  00000,1100
0013.02 (933001302)  00000,1430
0014.00 (933001400)  00000,1595
0015.01 (933001501)  00000,1065
0015.02 (933001502)  00000,1160
0016.01 (933001601)  00000,695
0016.03 (933001603)  00001,1190
0016.04 (933001604)  00001,1550
0017.01 (933001701)  00000,1180
0017.02 (933001702)  00000,1150
0018.01 (933001801)  00000,1120
0018.02 (933001802)  00000,1455
0019.00 (933001900)  00000,1160
0020.00 (933002000)  00000,680
0021.00 (933002100)  00000,985
0022.00 (933002200)  00000,550
0023.00 (933002300)  00000,1110
0024.00 (933002400)  00000,1525
0025.00 (933002500)  00000,1915
0026.00 (933002600)  00000,1210
0027.00 (933002700)  00000,1770
0028.00 (933002800)  00000,735
0029.00 (933002900)  00000,1185
0030.00 (933003000)  00000,1380
0031.01 (933003101)  00000,1095
0031.02 (933003102)  00000,860
0032.00 (933003200)  00000,1320
0033.00 (933003300)  00000,1455
0034.01 (933003401)  00000,905
0034.02 (933003402)  00000,1035
0035.01 (933003501)  00000,700
0035.02 (933003502)  00000,1245
0036.01 (933003601)  00000,1185
0036.02 (933003602)  00000,1210
0037.01 (933003701)  00001,765
0037.02 (933003702)  01011,490
0038.00 (933003800)  00000,555
0039.01 (933003901)  00000,670
0039.02 (933003902)  00000,960
0040.01 (933004001)  00001,330
0040.02 (933004002)  00001,605
0041.01 (933004101)  01001,760
0041.02 (933004102)  00001,1595
0042.00 (933004200)  00000,1380
0043.01 (933004301)  00001,835
0043.02 (933004302)  00001,1130
0044.00 (933004400)  00000,1225
0045.01 (933004501)  00000,1115
0045.02 (933004502)  00000,1130
0046.00 (933004600)  00000,885
0047.01 (933004701)  00001,755
0047.02 (933004702)  01001,660
0048.00 (933004800)  00000,1435
0049.01 (933004901)  00000,1495
0049.02 (933004902)  00000,1430
0050.02 (933005002)  00000,690
0050.03 (933005003)  00001,980
0050.04 (933005004)  00001,555
0051.00 (933005100)  00000,1625
0052.01 (933005201)  00000,1035
0052.02 (933005202)  00000,1195
0053.01 (933005301)  00001,1255
0053.02 (933005302)  00001,700
0054.01 (933005401)  00001,815
0054.02 (933005402)  00001,1020
0055.01 (933005501)  01000,805
0055.02 (933005502)  00000,850
0056.01 (933005601)  00001,315
0056.02 (933005602)  01001,545
0057.01 (933005701)  00011,75
0057.02 (933005702)  00001,535
0058.00 (933005800)  01020,120
0059.03 (933005903)  00001,1725
0059.04 (933005904)  01011,1240
0059.05 (933005905)  01011,1705
0059.06 (933005906)  01001,330
0060.01 (933006001)  00001,285
0060.02 (933006002)  01001,675
0061.00 (933006100)  01000,320
0062.00 (933006200)  01000,685
0063.00 (933006300)  00000,560
0064.00 (933006400)  00000,350
0065.00 (933006500)  00000,690
0066.00 (933006600)  01000,855
0067.00 (933006700)  00000,750
0068.00 (933006800)  01010,515
0069.00 (933006900)  01010,1155
0100.01 (933010001)  00000,730
0100.02 (933010002)  00000,1580
0101.01 (933010101)  00000,1640
0101.02 (933010102)  00000,1760
0102.00 (933010200)  00010,1010
0103.00 (933010300)  00000,1555
0104.00 (933010400)  00000,1635
0110.01 (933011001)  00001,2020
0110.02 (933011002)  00001,800
0111.01 (933011101)  00000,975
0111.02 (933011102)  00000,2285
0111.03 (933011103)  00000,1095
0112.00 (933011200)  00000,840
0113.00 (933011300)  00000,1575
0114.00 (933011400)  00000,2245
0115.00 (933011500)  00000,1415
0116.00 (933011600)  00000,1415
0117.00 (933011700)  00000,1705
0118.00 (933011800)  00001,2190
0119.00 (933011900)  00000,670
0120.00 (933012000)  00000,1135
0121.00 (933012100)  00000,1320
0122.00 (933012200)  00000,1245
0130.01 (933013001)  00000,1385
0130.02 (933013002)  00011,1185
0131.00 (933013100)  00000,2060
0132.00 (933013200)  00000,1205
0133.01 (933013301)  00001,1215
0133.02 (933013302)  00001,1820
0134.00 (933013400)  00000,2010
0135.00 (933013500)  00000,1580
0140.02 (933014002)  00000,1695
0140.03 (933014003)  00001,625
0140.04 (933014004)  00001,1090
0141.00 (933014100)  00000,1885
0142.01 (933014201)  00000,1690
0142.02 (933014202)  00000,1305
0142.03 (933014203)  00000,1680
0143.01 (933014301)  00000,1355
0143.02 (933014302)  00000,960
0143.03 (933014303)  00000,1185
0143.04 (933014304)  00000,1440
0144.03 (933014403)  00001,540
0144.04 (933014404)  00001,1180
0144.05 (933014405)  00001,560
0144.06 (933014406)  00001,1270
0145.00 (933014500)  00000,1900
0146.00 (933014600)  00000,1420
0147.01 (933014701)  00010,485
0147.02 (933014702)  00000,2260
0147.04 (933014704)  00001,1430
0147.05 (933014705)  00001,770
0147.06 (933014706)  00001,2315
0148.00 (933014800)  00000,1225
0149.02 (933014902)  00000,1185
0149.03 (933014903)  00000,1880
0149.04 (933014904)  00001,1975
0149.05 (933014905)  00001,480
0150.00 (933015000)  00000,250
0151.01 (933015101)  00000,1705
0151.03 (933015103)  00001,480
0151.04 (933015104)  00001,1840
0160.01 (933016001)  00001,1520
0160.02 (933016002)  00001,2205
0160.03 (933016003)  00000,1710
0160.04 (933016004)  00001,1155
0161.01 (933016101)  00001,820
0161.02 (933016102)  00000,1385
0161.03 (933016103)  00001,1860
0161.05 (933016105)  00001,1445
0161.06 (933016106)  00001,900
0162.01 (933016201)  00000,1520
0162.02 (933016202)  00000,1680
0162.03 (933016203)  00000,1465
0162.04 (933016204)  00000,1680
0163.01 (933016301)  00000,965
0163.04 (933016304)  00000,1530
0163.05 (933016305)  00011,1130
0163.06 (933016306)  00001,755
0163.07 (933016307)  00011,1150
0163.08 (933016308)  00001,980
0170.03 (933017003)  01001,1330
0170.04 (933017004)  00021,1470
0170.05 (933017005)  00001,905
0170.06 (933017006)  00001,2130
0180.00 (933018000)  00000,2295
0181.01 (933018101)  00000,2540
0181.03 (933018103)  00000,1405
0181.04 (933018104)  00000,2350
0181.05 (933018105)  00000,2475
0181.06 (933018106)  00000,1810
0181.07 (933018107)  00000,1125
0181.08 (933018108)  00001,815
