CTname,NoCert
0001.01 (933000101)  00000,690
0001.02 (933000102)  00010,255
0002.01 (933000201)  00000,550
0002.02 (933000202)  00000,770
0003.01 (933000301)  00001,405
0003.02 (933000302)  00001,525
0004.01 (933000401)  00001,530
0004.02 (933000402)  01011,640
0005.00 (933000500)  00000,540
0006.01 (933000601)  00001,330
0006.02 (933000602)  00001,410
0007.01 (933000701)  00001,350
0007.02 (933000702)  00001,230
0008.00 (933000800)  00010,235
0009.00 (933000900)  00000,330
0010.01 (933001001)  00000,445
0010.02 (933001002)  00000,375
0011.00 (933001100)  00000,785
0012.00 (933001200)  00000,880
0013.01 (933001301)  00000,945
0013.02 (933001302)  00000,1160
0014.00 (933001400)  00000,1190
0015.01 (933001501)  00000,605
0015.02 (933001502)  00000,585
0016.01 (933001601)  00000,485
0016.03 (933001603)  00001,705
0016.04 (933001604)  00001,910
0017.01 (933001701)  00000,905
0017.02 (933001702)  00000,965
0018.01 (933001801)  00000,870
0018.02 (933001802)  00000,770
0019.00 (933001900)  00000,500
0020.00 (933002000)  00000,220
0021.00 (933002100)  00000,150
0022.00 (933002200)  00000,165
0023.00 (933002300)  00000,140
0024.00 (933002400)  00000,220
0025.00 (933002500)  00000,245
0026.00 (933002600)  00000,410
0027.00 (933002700)  00000,470
0028.00 (933002800)  00000,140
0029.00 (933002900)  00000,270
0030.00 (933003000)  00000,585
0031.01 (933003101)  00000,365
0031.02 (933003102)  00000,365
0032.00 (933003200)  00000,840
0033.00 (933003300)  00000,1110
0034.01 (933003401)  00000,670
0034.02 (933003402)  00000,950
0035.01 (933003501)  00000,575
0035.02 (933003502)  00000,1055
0036.01 (933003601)  00000,790
0036.02 (933003602)  00000,770
0037.01 (933003701)  00001,800
0037.02 (933003702)  01011,600
0038.00 (933003800)  00000,430
0039.01 (933003901)  00000,410
0039.02 (933003902)  00000,265
0040.01 (933004001)  00001,265
0040.02 (933004002)  00001,225
0041.01 (933004101)  01001,165
0041.02 (933004102)  00001,200
0042.00 (933004200)  00000,325
0043.01 (933004301)  00001,55
0043.02 (933004302)  00001,135
0044.00 (933004400)  00000,235
0045.01 (933004501)  00000,180
0045.02 (933004502)  00000,200
0046.00 (933004600)  00000,320
0047.01 (933004701)  00001,165
0047.02 (933004702)  01001,185
0048.00 (933004800)  00000,365
0049.01 (933004901)  00000,290
0049.02 (933004902)  00000,285
0050.02 (933005002)  00000,650
0050.03 (933005003)  00001,555
0050.04 (933005004)  00001,510
0051.00 (933005100)  00000,995
0052.01 (933005201)  00000,935
0052.02 (933005202)  00000,920
0053.01 (933005301)  00001,1080
0053.02 (933005302)  00001,325
0054.01 (933005401)  00001,330
0054.02 (933005402)  00001,500
0055.01 (933005501)  01000,805
0055.02 (933005502)  00000,725
0056.01 (933005601)  00001,660
0056.02 (933005602)  01001,350
0057.01 (933005701)  00011,550
0057.02 (933005702)  00001,710
0058.00 (933005800)  01020,775
0059.03 (933005903)  00001,275
0059.04 (933005904)  01011,540
0059.05 (933005905)  01011,560
0059.06 (933005906)  01001,1225
0060.01 (933006001)  00001,225
0060.02 (933006002)  01001,460
0061.00 (933006100)  01000,440
0062.00 (933006200)  01000,265
0063.00 (933006300)  00000,285
0064.00 (933006400)  00000,310
0065.00 (933006500)  00000,475
0066.00 (933006600)  01000,140
0067.00 (933006700)  00000,530
0068.00 (933006800)  01010,360
0069.00 (933006900)  01010,100
0100.01 (933010001)  00000,295
0100.02 (933010002)  00000,775
0101.01 (933010101)  00000,925
0101.02 (933010102)  00000,775
0102.00 (933010200)  00010,385
0103.00 (933010300)  00000,790
0104.00 (933010400)  00000,695
0110.01 (933011001)  00001,465
0110.02 (933011002)  00001,220
0111.01 (933011101)  00000,365
0111.02 (933011102)  00000,415
0111.03 (933011103)  00000,290
0112.00 (933011200)  00000,250
0113.00 (933011300)  00000,595
0114.00 (933011400)  00000,480
0115.00 (933011500)  00000,410
0116.00 (933011600)  00000,340
0117.00 (933011700)  00000,295
0118.00 (933011800)  00001,585
0119.00 (933011900)  00000,165
0120.00 (933012000)  00000,230
0121.00 (933012100)  00000,220
0122.00 (933012200)  00000,180
0130.01 (933013001)  00000,520
0130.02 (933013002)  00011,855
0131.00 (933013100)  00000,300
0132.00 (933013200)  00000,155
0133.01 (933013301)  00001,175
0133.02 (933013302)  00001,190
0134.00 (933013400)  00000,425
0135.00 (933013500)  00000,290
0140.02 (933014002)  00000,500
0140.03 (933014003)  00001,485
0140.04 (933014004)  00001,370
0141.00 (933014100)  00000,855
0142.01 (933014201)  00000,420
0142.02 (933014202)  00000,390
0142.03 (933014203)  00000,795
0143.01 (933014301)  00000,455
0143.02 (933014302)  00000,635
0143.03 (933014303)  00000,355
0143.04 (933014304)  00000,625
0144.03 (933014403)  00001,335
0144.04 (933014404)  00001,555
0144.05 (933014405)  00001,260
0144.06 (933014406)  00001,535
0145.00 (933014500)  00000,700
0146.00 (933014600)  00000,775
0147.01 (933014701)  00010,295
0147.02 (933014702)  00000,1210
0147.04 (933014704)  00001,550
0147.05 (933014705)  00001,475
