CTname,ParticipationRate
0001.01 (933000101)  00000,64.7
0001.02 (933000102)  00010,61.4
0002.01 (933000201)  00000,66.1
0002.02 (933000202)  00000,59.2
0003.01 (933000301)  00001,63.4
0003.02 (933000302)  00001,65.2
0004.01 (933000401)  00001,51.6
0004.02 (933000402)  01011,60.3
0005.00 (933000500)  00000,75.4
0006.01 (933000601)  00001,56.9
0006.02 (933000602)  00001,55.3
0007.01 (933000701)  00001,63.7
0007.02 (933000702)  00001,55
0008.00 (933000800)  00010,62.3
0009.00 (933000900)  00000,59
0010.01 (933001001)  00000,41.8
0010.02 (933001002)  00000,48.6
0011.00 (933001100)  00000,57.8
0012.00 (933001200)  00000,62.4
0013.01 (933001301)  00000,55
0013.02 (933001302)  00000,57.3
0014.00 (933001400)  00000,56.2
0015.01 (933001501)  00000,53.7
0015.02 (933001502)  00000,53.8
0016.01 (933001601)  00000,59.5
0016.03 (933001603)  00001,61.5
0016.04 (933001604)  00001,65.3
0017.01 (933001701)  00000,62.1
0017.02 (933001702)  00000,59.7
0018.01 (933001801)  00000,61.6
0018.02 (933001802)  00000,64.2
0019.00 (933001900)  00000,56.7
0020.00 (933002000)  00000,47.6
0021.00 (933002100)  00000,60.8
0022.00 (933002200)  00000,51.5
0023.00 (933002300)  00000,63.2
0024.00 (933002400)  00000,64.2
0025.00 (933002500)  00000,67.1
0026.00 (933002600)  00000,53.8
0027.00 (933002700)  00000,52.2
0028.00 (933002800)  00000,62.9
0029.00 (933002900)  00000,72.1
0030.00 (933003000)  00000,65.7
0031.01 (933003101)  00000,72.9
0031.02 (933003102)  00000,69.4
0032.00 (933003200)  00000,64.5
0033.00 (933003300)  00000,65.7
0034.01 (933003401)  00000,59.8
0034.02 (933003402)  00000,61.1
0035.01 (933003501)  00000,60.4
0035.02 (933003502)  00000,60.3
0036.01 (933003601)  00000,58.7
0036.02 (933003602)  00000,61
0037.01 (933003701)  00001,68.9
0037.02 (933003702)  01011,69.7
0038.00 (933003800)  00000,73.8
0039.01 (933003901)  00000,81.5
0039.02 (933003902)  00000,73.6
0040.01 (933004001)  00001,82.9
0040.02 (933004002)  00001,77.4
0041.01 (933004101)  01001,74.7
0041.02 (933004102)  00001,78.1
0042.00 (933004200)  00000,71.6
0043.01 (933004301)  00001,70
0043.02 (933004302)  00001,65
0044.00 (933004400)  00000,63.3
0045.01 (933004501)  00000,82.9
0045.02 (933004502)  00000,78.1
0046.00 (933004600)  00000,78.4
0047.01 (933004701)  00001,77.2
0047.02 (933004702)  01001,82.8
0048.00 (933004800)  00000,76.2
0049.01 (933004901)  00000,81.5
0049.02 (933004902)  00000,71.3
0050.02 (933005002)  00000,67.1
0050.03 (933005003)  00001,73.6
0050.04 (933005004)  00001,63.8
0051.00 (933005100)  00000,59.9
0052.01 (933005201)  00000,54.8
0052.02 (933005202)  00000,63.1
0053.01 (933005301)  00001,64.6
0053.02 (933005302)  00001,69.9
0054.01 (933005401)  00001,71.6
0054.02 (933005402)  00001,60.6
0055.01 (933005501)  01000,63.6
0055.02 (933005502)  00000,70.2
0056.01 (933005601)  00001,68.9
0056.02 (933005602)  01001,77.1
0057.01 (933005701)  00011,36.2
0057.02 (933005702)  00001,53.9
0058.00 (933005800)  01020,34.2
