CTname,TotFam
0001.01 (933000101)  00000,1820
0001.02 (933000102)  00010,1095
0002.01 (933000201)  00000,1565
0002.02 (933000202)  00000,1940
0003.01 (933000301)  00001,970
0003.02 (933000302)  00001,1170
0004.01 (933000401)  00001,1045
0004.02 (933000402)  01011,1440
0005.00 (933000500)  00000,1675
0006.01 (933000601)  00001,1195
0006.02 (933000602)  00001,1325
0007.01 (933000701)  00001,1345
0007.02 (933000702)  00001,1015
0008.00 (933000800)  00010,1495
0009.00 (933000900)  00000,1765
0010.01 (933001001)  00000,1175
0010.02 (933001002)  00000,1220
0011.00 (933001100)  00000,1585
0012.00 (933001200)  00000,1945
0013.01 (933001301)  00000,1595
0013.02 (933001302)  00000,2155
0014.00 (933001400)  00000,2185
0015.01 (933001501)  00000,1210
0015.02 (933001502)  00000,1390
0016.01 (933001601)  00000,1190
0016.03 (933001603)  00001,1810
0016.04 (933001604)  00001,1900
0017.01 (933001701)  00000,1715
0017.02 (933001702)  00000,1745
0018.01 (933001801)  00000,1655
0018.02 (933001802)  00000,1760
0019.00 (933001900)  00000,1405
0020.00 (933002000)  00000,615
0021.00 (933002100)  00000,1105
0022.00 (933002200)  00000,715
0023.00 (933002300)  00000,1165
0024.00 (933002400)  00000,1650
0025.00 (933002500)  00000,1875
0026.00 (933002600)  00000,1310
0027.00 (933002700)  00000,1730
0028.00 (933002800)  00000,850
0029.00 (933002900)  00000,1390
0030.00 (933003000)  00000,1765
0031.01 (933003101)  00000,1430
0031.02 (933003102)  00000,1215
0032.00 (933003200)  00000,1890
0033.00 (933003300)  00000,2070
0034.01 (933003401)  00000,1275
0034.02 (933003402)  00000,1720
0035.01 (933003501)  00000,1020
0035.02 (933003502)  00000,1920
0036.01 (933003601)  00000,1545
0036.02 (933003602)  00000,1420
0037.01 (933003701)  00001,1250
0037.02 (933003702)  01011,790
0038.00 (933003800)  00000,1045
0039.01 (933003901)  00000,1130
0039.02 (933003902)  00000,1120
0040.01 (933004001)  00001,620
0040.02 (933004002)  00001,810
0041.01 (933004101)  01001,850
0041.02 (933004102)  00001,1480
0042.00 (933004200)  00000,1485
0043.01 (933004301)  00001,935
0043.02 (933004302)  00001,1180
0044.00 (933004400)  00000,1240
0045.01 (933004501)  00000,1155
0045.02 (933004502)  00000,1235
0046.00 (933004600)  00000,1040
0047.01 (933004701)  00001,745
0047.02 (933004702)  01001,850
0048.00 (933004800)  00000,1465
0049.01 (933004901)  00000,1370
0049.02 (933004902)  00000,1680
0050.02 (933005002)  00000,1355
0050.03 (933005003)  00001,1050
0050.04 (933005004)  00001,910
0051.00 (933005100)  00000,2025
0052.01 (933005201)  00000,1470
0052.02 (933005202)  00000,1770
0053.01 (933005301)  00001,1725
0053.02 (933005302)  00001,850
0054.01 (933005401)  00001,1005
0054.02 (933005402)  00001,1155
0055.01 (933005501)  01000,1260
0055.02 (933005502)  00000,1100
0056.01 (933005601)  00001,945
0056.02 (933005602)  01001,985
0057.01 (933005701)  00011,540
0057.02 (933005702)  00001,1050
0058.00 (933005800)  01020,260
0059.03 (933005903)  00001,1985
0059.04 (933005904)  01011,1055
0059.05 (933005905)  01011,1470
0059.06 (933005906)  01001,380
0060.01 (933006001)  00001,580
0060.02 (933006002)  01001,1125
0061.00 (933006100)  01000,850
0062.00 (933006200)  01000,690
0063.00 (933006300)  00000,680
0064.00 (933006400)  00000,690
0065.00 (933006500)  00000,1085
0066.00 (933006600)  01000,920
0067.00 (933006700)  00000,1305
0068.00 (933006800)  01010,875
0069.00 (933006900)  01010,1815
0100.01 (933010001)  00000,875
0100.02 (933010002)  00000,1860
0101.01 (933010101)  00000,2005
0101.02 (933010102)  00000,1875
0102.00 (933010200)  00010,1405
0103.00 (933010300)  00000,1730
0104.00 (933010400)  00000,2055
0110.01 (933011001)  00001,2150
0110.02 (933011002)  00001,805
0111.01 (933011101)  00000,1615
0111.02 (933011102)  00000,2185
0111.03 (933011103)  00000,1130
0112.00 (933011200)  00000,755
0113.00 (933011300)  00000,1895
0114.00 (933011400)  00000,2325
0115.00 (933011500)  00000,1420
0116.00 (933011600)  00000,1550
0117.00 (933011700)  00000,1720
0118.00 (933011800)  00001,2100
0119.00 (933011900)  00000,635
0120.00 (933012000)  00000,1145
0121.00 (933012100)  00000,1270
0122.00 (933012200)  00000,1225
0130.01 (933013001)  00000,1315
0130.02 (933013002)  00011,1585
0131.00 (933013100)  00000,1890
0132.00 (933013200)  00000,1125
0133.01 (933013301)  00001,1155
0133.02 (933013302)  00001,1770
0134.00 (933013400)  00000,1955
0135.00 (933013500)  00000,1600
0140.02 (933014002)  00000,1570
0140.03 (933014003)  00001,1155
0140.04 (933014004)  00001,1200
0141.00 (933014100)  00000,2260
0142.01 (933014201)  00000,1790
0142.02 (933014202)  00000,1380
0142.03 (933014203)  00000,1750
0143.01 (933014301)  00000,1580
0143.02 (933014302)  00000,1190
0143.03 (933014303)  00000,1285
0143.04 (933014304)  00000,1580
0144.03 (933014403)  00001,650
0144.04 (933014404)  00001,1520
0144.05 (933014405)  00001,635
0144.06 (933014406)  00001,1475
0145.00 (933014500)  00000,2170
0146.00 (933014600)  00000,1780
0147.01 (933014701)  00010,625
0147.02 (933014702)  00000,2665
0147.04 (933014704)  00001,1355
0147.05 (933014705)  00001,1020
0147.06 (933014706)  00001,2080
0148.00 (933014800)  00000,1530
0149.02 (933014902)  00000,1375
0149.03 (933014903)  00000,2190
0149.04 (933014904)  00001,2130
0149.05 (933014905)  00001,590
0150.00 (933015000)  00000,215
0151.01 (933015101)  00000,2160
0151.03 (933015103)  00001,670
