CTname,UniCert
0001.01 (933000101)  00000,150
0001.02 (933000102)  00010,105
0002.01 (933000201)  00000,150
0002.02 (933000202)  00000,235
0003.01 (933000301)  00001,85
0003.02 (933000302)  00001,80
0004.01 (933000401)  00001,95
0004.02 (933000402)  01011,65
0005.00 (933000500)  00000,275
0006.01 (933000601)  00001,165
0006.02 (933000602)  00001,145
0007.01 (933000701)  00001,170
0007.02 (933000702)  00001,150
0008.00 (933000800)  00010,210
0009.00 (933000900)  00000,255
0010.01 (933001001)  00000,180
0010.02 (933001002)  00000,175
0011.00 (933001100)  00000,120
0012.00 (933001200)  00000,325
0013.01 (933001301)  00000,105
0013.02 (933001302)  00000,145
0014.00 (933001400)  00000,230
0015.01 (933001501)  00000,160
0015.02 (933001502)  00000,105
0016.01 (933001601)  00000,150
0016.03 (933001603)  00001,275
0016.04 (933001604)  00001,155
0017.01 (933001701)  00000,145
0017.02 (933001702)  00000,120
0018.01 (933001801)  00000,165
0018.02 (933001802)  00000,135
0019.00 (933001900)  00000,190
0020.00 (933002000)  00000,140
0021.00 (933002100)  00000,120
0022.00 (933002200)  00000,140
0023.00 (933002300)  00000,110
0024.00 (933002400)  00000,190
0025.00 (933002500)  00000,170
0026.00 (933002600)  00000,135
0027.00 (933002700)  00000,250
0028.00 (933002800)  00000,130
0029.00 (933002900)  00000,170
0030.00 (933003000)  00000,180
0031.01 (933003101)  00000,130
0031.02 (933003102)  00000,160
0032.00 (933003200)  00000,295
0033.00 (933003300)  00000,210
0034.01 (933003401)  00000,90
0034.02 (933003402)  00000,120
0035.01 (933003501)  00000,125
0035.02 (933003502)  00000,165
0036.01 (933003601)  00000,125
0036.02 (933003602)  00000,125
0037.01 (933003701)  00001,125
0037.02 (933003702)  01011,70
0038.00 (933003800)  00000,210
0039.01 (933003901)  00000,185
0039.02 (933003902)  00000,160
0040.01 (933004001)  00001,135
0040.02 (933004002)  00001,140
0041.01 (933004101)  01001,145
0041.02 (933004102)  00001,140
0042.00 (933004200)  00000,200
0043.01 (933004301)  00001,70
0043.02 (933004302)  00001,65
0044.00 (933004400)  00000,130
0045.01 (933004501)  00000,120
0045.02 (933004502)  00000,130
0046.00 (933004600)  00000,100
0047.01 (933004701)  00001,125
0047.02 (933004702)  01001,155
0048.00 (933004800)  00000,220
0049.01 (933004901)  00000,150
0049.02 (933004902)  00000,255
0050.02 (933005002)  00000,230
0050.03 (933005003)  00001,150
0050.04 (933005004)  00001,130
0051.00 (933005100)  00000,180
0052.01 (933005201)  00000,95
0052.02 (933005202)  00000,115
0053.01 (933005301)  00001,125
0053.02 (933005302)  00001,85
0054.01 (933005401)  00001,95
0054.02 (933005402)  00001,135
0055.01 (933005501)  01000,100
0055.02 (933005502)  00000,145
0056.01 (933005601)  00001,100
0056.02 (933005602)  01001,150
0057.01 (933005701)  00011,60
0057.02 (933005702)  00001,80
0058.00 (933005800)  01020,10
