"","CTname","NoCert","EduPop","UniCert","Unemployed","LonePar","AveInc","HomeOwn","TotDwell","ParticipationRate","TotFam","No.High.school.completion","University.completion","Proportion.of.lone.parent.families","Home.ownership","Z.No.High.school.completion","Z.University.completion","Z.Unemployed","Z.Proportion.of.lone.parent.families","Z.AveInc","Z.Home.ownership","Z.ParticipationRate"
"1",9330001.01,690,4625,150,7.2,435,26996,1155,2260,64.7,1820,0.149189189189189,0.0324324324324324,0.239010989010989,0.511061946902655,-0.00216526263064962,-0.282702884440248,-0.0452621973214946,1.70585778270083,-0.461895434073595,-0.630697390068936,-0.239010055108375
"2",9330001.02,255,2620,105,10.5,280,27674,755,1300,61.4,1095,0.0973282442748092,0.0400763358778626,0.255707762557078,0.580769230769231,-0.908909286980289,0.269230603708564,1.04256774509586,2.03030161666912,-0.391816834315033,-0.28919321363036,-0.672453973384354
"3",9330002.01,550,4370,150,8.2,245,29846,1345,2230,66.1,1565,0.125858123569794,0.034324942791762,0.156549520766773,0.603139013452915,-0.41008888158943,-0.14605282711816,0.284383239774674,0.10350539779497,-0.167317249247782,-0.179601019117035,-0.0551247564458397
"4",9330002.02,770,5430,235,6.9,260,27980,1555,2330,59.2,1940,0.141804788213628,0.0432780847145488,0.134020618556701,0.667381974248927,-0.131275163521313,0.500415157022761,-0.144155828450345,-0.334265611553413,-0.360188439733736,0.135132796370755,-0.961416585568339
"5",9330003.01,405,2440,85,9.7,195,21546,560,930,63.4,970,0.165983606557377,0.0348360655737705,0.201030927835052,0.602150537634409,0.291470682803419,-0.10914684289685,0.778851395418927,0.96784713481981,-1.02521161207383,-0.184443678328582,-0.409760689580731
"6",9330003.02,525,3180,80,9.8,215,18868,575,1185,65.2,1170,0.165094339622642,0.0251572327044025,0.183760683760684,0.485232067510549,0.275922615168816,-0.808013858281947,0.811815939128545,0.632259891836047,-1.30201174504349,-0.757241005025918,-0.173336734157469
"7",9330004.01,530,3005,95,9.1,145,24166,865,1330,51.6,1045,0.176372712146423,0.0316139767054908,0.138755980861244,0.650375939849624,0.473115259984898,-0.341800062667467,0.581064133161226,-0.242250283138375,-0.754406403567297,0.0518182351100371,-1.95965106402211
"8",9330004.02,640,3840,65,10.8,250,20046,825,1485,60.3,1440,0.166666666666667,0.0169270833333333,0.173611111111111,0.555555555555556,0.303413401421302,-1.40227765070016,1.14146137622471,0.435038179840168,-1.18025276198216,-0.412717971894031,-0.816935279476347
"9",9330005,540,5845,275,8.6,280,25109,290,3985,75.4,1675,0.0923866552609068,0.0470487596236099,0.167164179104478,0.0727728983688833,-0.995308721401419,0.772679422275551,0.416241414613142,0.309764435676879,-0.656937200658265,-2.7779269514454,1.16639901324101
"10",9330006.01,330,3420,165,5.3,175,28098,1025,1520,56.9,1195,0.0964912280701754,0.0482456140350877,0.146443514644351,0.674342105263158,-0.923543795531732,0.859099146811469,-0.671588527804216,-0.0928697499792333,-0.347991869274281,0.169231296241572,-1.26351386194251
"11",9330006.02,410,3595,145,11,205,24609,895,1590,55.3,1325,0.114047287899861,0.0403337969401947,0.154716981132075,0.562893081761006,-0.6165911866278,0.287820762939372,1.20739046364395,0.0678963513322499,-0.708617583961039,-0.376770568625742,-1.47366848898541
"12",9330007.01,350,3760,170,8.3,185,40558,1245,1800,63.7,1345,0.0930851063829787,0.0452127659574468,0.137546468401487,0.691666666666667,-0.983096904160437,0.6401101930043,0.317347783484291,-0.265752959184905,0.939883282630853,0.254106358732734,-0.370356697010187
"13",9330007.02,230,2685,150,7.7,170,48960,880,1145,55,1015,0.0856610800744879,0.0558659217877095,0.167487684729064,0.768558951965066,-1.11289961992183,1.40932889116891,0.11956052122659,0.316050644498086,1.80832044365067,0.630810701647186,-1.51307248155595
"14",9330008,235,3935,210,6.1,195,76133,1180,1755,62.3,1495,0.059720457433291,0.0533672172808132,0.130434782608696,0.672364672364672,-1.56644909933543,1.22890815401675,-0.407872178127281,-0.40394388560683,4.61694255462324,0.159543620061958,-0.554241995672724
"15",9330009,330,5595,255,9.4,230,41376,1480,3100,59,1765,0.0589812332439678,0.0455764075067024,0.130311614730878,0.47741935483871,-1.57937379859477,0.666367189857979,0.679957764290077,-0.406337225756681,1.02443238971419,-0.795516402642247,-0.987685913948702
"16",9330010.01,445,3635,180,7.8,140,35274,1020,1750,41.8,1175,0.12242090784044,0.0495185694635488,0.119148936170213,0.582857142857143,-0.470185642806136,0.951013799436829,0.152525064936207,-0.623245134316439,0.393724991887135,-0.278964286917001,-3.24684815465986
"17",9330010.02,375,3510,175,6.4,125,36779,865,1550,48.6,1220,0.106837606837607,0.0498575498575499,0.102459016393443,0.558064516129032,-0.742646260083529,0.975490120024957,-0.30897854699843,-0.947555789069678,0.549282945628485,-0.400426279163584,-2.35369098972754
"18",9330011,785,4515,120,7.4,255,24378,1215,1915,57.8,1585,0.173864894795127,0.026578073089701,0.160883280757098,0.634464751958224,0.429268230178528,-0.70542106710412,0.0206668900977393,0.187716979324666,-0.732493921046921,-0.0261325444299081,-1.14530188423088
"19",9330012,880,5715,325,7.2,305,23799,1525,2565,62.4,1945,0.153980752405949,0.0568678915135608,0.15681233933162,0.594541910331384,0.0816110997411437,1.48167682828724,-0.0452621973214946,0.108612364274537,-0.792339804911534,-0.221719237736705,-0.541107331482542
"20",9330013.01,945,4535,105,9.2,295,20526,1100,1820,55,1595,0.208379272326351,0.0231532524807056,0.184952978056426,0.604395604395604,1.03272244090014,-0.952712676489484,0.614028676870843,0.655427992634771,-1.13063959401149,-0.173444832400238,-1.51307248155595
"21",9330013.02,1160,5615,145,13.4,400,20715,1430,2150,57.3,2155,0.206589492430988,0.0258236865538736,0.185614849187935,0.665116279069767,1.00142967853917,-0.759892083791368,1.99853951267475,0.668289160506926,-1.11110440912305,0.124032889398325,-1.21097520518178
"22",9330014,1190,6125,230,10.4,430,21195,1595,2560,56.2,2185,0.194285714285714,0.0375510204081633,0.196796338672769,0.623046875,0.786308698222103,0.0868884030492164,1.00960320138625,0.885562594079097,-1.06149124115238,-0.0820700656042929,-1.35545651127377
"23",9330015.01,605,3525,160,9.5,135,23154,1065,1325,53.7,1210,0.171631205673759,0.0453900709219858,0.111570247933884,0.80377358490566,0.39021409673766,0.65291262414995,0.712922307999694,-0.770510632112019,-0.859007499372112,0.803331327238954,-1.6838231160283
"24",9330015.02,585,3990,105,9.9,215,22155,1160,1750,53.8,1390,0.146616541353383,0.0263157894736842,0.154676258992806,0.662857142857143,-0.0471457977081365,-0.724359442255755,0.844780482838162,0.0671050579152564,-0.962264905211055,0.112965115573832,-1.67068845183812
"25",9330016.01,485,3365,150,12,225,19926,695,1505,59.5,1190,0.144130757800892,0.0445765230312036,0.189075630252101,0.461794019933555,-0.0906075854902503,0.594169819725333,1.53703590074012,0.73553742699886,-1.19265605397482,-0.872066754805954,-0.922012592997796
"26",9330016.03,705,5365,275,8.7,370,21206,1190,2710,61.5,1810,0.131407269338304,0.0512581547064306,0.204419889502762,0.439114391143911,-0.313066839778423,1.07662178989489,0.449205958322759,1.03369984064999,-1.06035427271972,-0.983176921808939,-0.659319309194173
"27",9330016.04,910,5160,155,8.1,400,21834,1550,2235,65.3,1900,0.176356589147287,0.0300387596899225,0.210526315789474,0.693512304250559,0.472833363209875,-0.455539728297831,0.251418696065057,1.15235703815205,-0.995443711291436,0.263148354176105,-0.160202069967289
"28",9330017.01,905,4620,145,7.1,310,22032,1180,1775,62.1,1715,0.195887445887446,0.0313852813852814,0.180758017492711,0.664788732394366,0.81431359787983,-0.358313171016838,-0.0782267410311116,0.573913496143542,-0.974978279503538,0.122428199738601,-0.580511324053086
"29",9330017.02,965,4625,120,7.7,380,19747,1150,1830,59.7,1745,0.208648648648649,0.0259459459459459,0.217765042979943,0.628415300546448,1.03743225424712,-0.751064257379483,0.11956052122659,1.29301657313607,-1.21115763119722,-0.0557695178950936,-0.895743264617434
"30",9330018.01,870,4535,165,8.9,270,21529,1120,1770,61.6,1655,0.191841234840132,0.0363836824696803,0.163141993957704,0.632768361581921,0.743569077230115,0.00259993645162369,0.515135045741993,0.231607229654564,-1.02696874510613,-0.0344433602621062,-0.646184645003991
"31",9330018.02,770,4840,135,10.2,355,24086,1455,2000,64.2,1760,0.159090909090909,0.0278925619834711,0.201704545454545,0.7275,0.170957794932054,-0.610507461058359,0.943674113967012,0.9809365549101,-0.762675264895741,0.429658070265087,-0.304683376059281
"32",9330019,500,4110,190,6.9,325,28444,1160,2000,56.7,1405,0.121654501216545,0.0462287104622871,0.231316725978648,0.58,-0.48358560355861,0.713467188984848,-0.144155828450345,1.55634648994223,-0.312229044028761,-0.292961765577388,-1.28978319032287
"33",9330020,220,1870,140,5.7,65,38506,680,805,47.6,615,0.117647058823529,0.0748663101604278,0.105691056910569,0.84472049689441,-0.553652287626774,2.78126545546526,-0.539730352965748,-0.884752301077051,0.727786989556268,1.0039350616089,-2.48503763162936
"34",9330021,150,3030,120,4.5,100,74543,985,1270,60.8,1105,0.0495049504950495,0.0396039603960396,0.0904977375565611,0.775590551181102,-1.74505845339261,0.235122395872108,-0.935304877481151,-1.17998172179791,4.45259893572042,0.66525933263839,-0.751261958525441
"35",9330022,165,2445,140,3.3,115,39823,550,1630,51.5,715,0.0674846625766871,0.0572597137014315,0.160839160839161,0.337423312883436,-1.43069864918026,1.5099686282072,-1.33087940199655,0.186859661874063,0.863913119175775,-1.4813734660749,-1.97278572821229
"36",9330023,140,3160,110,7.1,140,44871,1110,1375,63.2,1165,0.0443037974683544,0.0348101265822785,0.120171673819742,0.807272727272727,-1.83599614136706,-0.111019786237311,-0.0782267410311116,-0.603371778350916,1.38567826900058,0.820474036953389,-0.436030017961093
"37",9330024,220,4375,190,6,195,50942,1525,1915,64.2,1650,0.0502857142857143,0.0434285714285714,0.118181818181818,0.796344647519582,-1.73140746992552,0.51128115730436,-0.440836721836897,-0.642037715241629,2.01318148306287,0.766936089853111,-0.304683376059281
"38",9330025,245,5355,170,7.2,225,41629,1915,2515,67.1,1875,0.0457516339869281,0.0317460317460317,0.12,0.761431411530815,-1.81068196489728,-0.332264934486728,-0.0452621973214946,-0.606707663102272,1.0505826636654,0.595892043351873,0.076221885455972
"39",9330026,410,3715,135,4.7,170,58891,1210,1725,53.8,1310,0.110363391655451,0.0363391655450875,0.129770992366412,0.701449275362319,-0.681000944518977,-0.000614439769578187,-0.869375790061917,-0.416842344735038,2.83479621681037,0.302032508493841,-1.67068845183812
"40",9330027,470,5115,250,5.7,220,39987,1770,2415,52.2,1730,0.0918866080156403,0.0488758553274682,0.127167630057803,0.732919254658385,-1.00405161747257,0.904606167846245,-0.539730352965748,-0.46742965409047,0.880864284899085,0.456207635767669,-1.88084307888102
"41",9330028,140,2480,130,4.6,80,45988,735,1170,62.9,850,0.0564516129032258,0.0524193548387097,0.0941176470588235,0.628205128205128,-1.62360203492227,1.16046707182749,-0.902340333771534,-1.10964134649783,1.50113224529898,-0.0567991768970139,-0.475434010531637
