CENSUS_YEAR,GEO_CODE (POR),GEO_LEVEL,GEO_NAME,GNR,DATA_QUALITY_FLAG,ALT_GEO_CODE,DIM: Household type including census family structure (11),a,Notes: Household type including census family structure (11),Dim: Household income statistics (3): Member ID: [1]: Total - Household income statistics (Note: 3),Dim: Household income statistics (3): Member ID: [2]: Median total income of households ($),Dim: Household income statistics (3): Member ID: [3]: Median after-tax income of households ($)
2016,933,1,Vancouver,4.4,0,933,Total - Household type including census family structure,1,1,960895,72662,63365
2016,933,1,Vancouver,4.4,0,933,Census family households,2,,638370,94893,82430
2016,933,1,Vancouver,4.4,0,933,One-census-family households without additional persons,3,,545575,90460,78386
2016,933,1,Vancouver,4.4,0,933,One couple census family without other persons in the household,4,,466525,98044,84420
2016,933,1,Vancouver,4.4,0,933,Without children,5,,213320,86258,74558
2016,933,1,Vancouver,4.4,0,933,With children,6,,253205,109024,93694
2016,933,1,Vancouver,4.4,0,933,One lone-parent census family without other persons in the household,7,,79045,52570,47784
2016,933,1,Vancouver,4.4,0,933,With a male lone parent,8,,14235,68970,59696
2016,933,1,Vancouver,4.4,0,933,With a female lone parent,9,,64815,49832,45658
2016,933,1,Vancouver,4.4,0,933,Other census family households,10,2,92800,121425,107613
2016,933,1,Vancouver,4.4,0,933,Non-census-family households,11,,322525,40780,36180
2016,9330001.01,2,1.01,3.1,0,933000101,Total - Household type including census family structure,1,1,2315,72141,63027
2016,9330001.01,2,1.01,3.1,0,933000101,Census family households,2,,1725,86784,76704
2016,9330001.01,2,1.01,3.1,0,933000101,One-census-family households without additional persons,3,,1525,84128,74112
2016,9330001.01,2,1.01,3.1,0,933000101,One couple census family without other persons in the household,4,,1205,90601,79829
2016,9330001.01,2,1.01,3.1,0,933000101,Without children,5,,440,77376,66816
2016,9330001.01,2,1.01,3.1,0,933000101,With children,6,,770,98432,85870
2016,9330001.01,2,1.01,3.1,0,933000101,One lone-parent census family without other persons in the household,7,,320,59520,53504
2016,9330001.01,2,1.01,3.1,0,933000101,With a male lone parent,8,,40,60672,52736
2016,9330001.01,2,1.01,3.1,0,933000101,With a female lone parent,9,,275,59264,53504
2016,9330001.01,2,1.01,3.1,0,933000101,Other census family households,10,2,200,107520,95232
2016,9330001.01,2,1.01,3.1,0,933000101,Non-census-family households,11,,590,36416,32235
2016,9330001.02,2,1.02,3.6,0,933000102,Total - Household type including census family structure,1,1,2090,76826,66534
2016,9330001.02,2,1.02,3.6,0,933000102,Census family households,2,,1580,91648,80077
2016,9330001.02,2,1.02,3.6,0,933000102,One-census-family households without additional persons,3,,1445,89173,77696
2016,9330001.02,2,1.02,3.6,0,933000102,One couple census family without other persons in the household,4,,1175,99136,84966
2016,9330001.02,2,1.02,3.6,0,933000102,Without children,5,,490,94464,80213
2016,9330001.02,2,1.02,3.6,0,933000102,With children,6,,690,103360,88448
2016,9330001.02,2,1.02,3.6,0,933000102,One lone-parent census family without other persons in the household,7,,270,49664,45261
2016,9330001.02,2,1.02,3.6,0,933000102,With a male lone parent,8,,30,55680,50304
2016,9330001.02,2,1.02,3.6,0,933000102,With a female lone parent,9,,240,48768,45152
2016,9330001.02,2,1.02,3.6,0,933000102,Other census family households,10,2,135,113408,99072
2016,9330001.02,2,1.02,3.6,0,933000102,Non-census-family households,11,,510,45952,40640
2016,9330002.01,2,2.01,3.5,0,933000201,Total - Household type including census family structure,1,1,2505,72448,63712
2016,9330002.01,2,2.01,3.5,0,933000201,Census family households,2,,1655,93184,81818
2016,9330002.01,2,2.01,3.5,0,933000201,One-census-family households without additional persons,3,,1435,89381,78336
2016,9330002.01,2,2.01,3.5,0,933000201,One couple census family without other persons in the household,4,,1165,98112,85600
2016,9330002.01,2,2.01,3.5,0,933000201,Without children,5,,530,91136,77312
2016,9330002.01,2,2.01,3.5,0,933000201,With children,6,,640,106560,91360
2016,9330002.01,2,2.01,3.5,0,933000201,One lone-parent census family without other persons in the household,7,,270,51584,46656
2016,9330002.01,2,2.01,3.5,0,933000201,With a male lone parent,8,,40,57472,51072
2016,9330002.01,2,2.01,3.5,0,933000201,With a female lone parent,9,,225,50688,46251
2016,9330002.01,2,2.01,3.5,0,933000201,Other census family households,10,2,220,123904,110336
2016,9330002.01,2,2.01,3.5,0,933000201,Non-census-family households,11,,855,46997,40576
2016,9330002.03,2,2.03,2.3,0,933000203,Total - Household type including census family structure,1,1,1295,77824,68864
2016,9330002.03,2,2.03,2.3,0,933000203,Census family households,2,,1030,93184,83200
2016,9330002.03,2,2.03,2.3,0,933000203,One-census-family households without additional persons,3,,745,83273,72960
2016,9330002.03,2,2.03,2.3,0,933000203,One couple census family without other persons in the household,4,,640,88576,78592
2016,9330002.03,2,2.03,2.3,0,933000203,Without children,5,,235,72448,62848
2016,9330002.03,2,2.03,2.3,0,933000203,With children,6,,405,106752,94635
2016,9330002.03,2,2.03,2.3,0,933000203,One lone-parent census family without other persons in the household,7,,105,45696,42880
2016,9330002.03,2,2.03,2.3,0,933000203,With a male lone parent,8,,10,0,0
2016,9330002.03,2,2.03,2.3,0,933000203,With a female lone parent,9,,95,44416,41088
2016,9330002.03,2,2.03,2.3,0,933000203,Other census family households,10,2,280,136448,120064
2016,9330002.03,2,2.03,2.3,0,933000203,Non-census-family households,11,,265,32320,29099
2016,9330002.04,2,2.04,5,0,933000204,Total - Household type including census family structure,1,1,1560,81701,71168
2016,9330002.04,2,2.04,5,0,933000204,Census family households,2,,1115,99072,85285
2016,9330002.04,2,2.04,5,0,933000204,One-census-family households without additional persons,3,,900,91699,80026
2016,9330002.04,2,2.04,5,0,933000204,One couple census family without other persons in the household,4,,745,98987,85285
2016,9330002.04,2,2.04,5,0,933000204,Without children,5,,325,86272,76416
2016,9330002.04,2,2.04,5,0,933000204,With children,6,,420,111019,96960
2016,9330002.04,2,2.04,5,0,933000204,One lone-parent census family without other persons in the household,7,,150,50560,47232
2016,9330002.04,2,2.04,5,0,933000204,With a male lone parent,8,,15,0,0
2016,9330002.04,2,2.04,5,0,933000204,With a female lone parent,9,,135,50816,47488
2016,9330002.04,2,2.04,5,0,933000204,Other census family households,10,2,220,137728,119381
