"","CTname","Freq","Geographic.name","Province.or.territory","Incompletely.enumerated.Indian.reserves.and.Indian.settlements..2016","Population..2016","Population..2011","X2011.adjusted.population.flag","Population....change","Total.private.dwellings..2016","Private.dwellings.occupied.by.usual.residents..2016","Land.area.in.square.kilometres..2016","Population.density.per.square.kilometre..2016","X","incidence"
"1",9330160.01,5,"9330160.01","British Columbia",FALSE,4606,4805,FALSE,-4.1,1731,1659,2.17,2118.6,NA,0.00108554059921841
"2",9330160.02,2,"9330160.02","British Columbia",FALSE,6990,7014,FALSE,-0.3,3213,3123,6.54,1068.9,NA,0.000286123032904149
"3",9330160.03,6,"9330160.03","British Columbia",FALSE,5784,5692,FALSE,1.6,2146,2049,2.63,2199.7,NA,0.00103734439834025
"4",9330160.04,1,"9330160.04","British Columbia",FALSE,4029,3670,FALSE,9.8,1893,1810,2.33,1731.5,NA,0.000248200546041201
"5",9330161.02,2,"9330161.02","British Columbia",FALSE,5655,5589,FALSE,1.2,2428,2368,1.73,3272,NA,0.000353669319186561
"6",9330161.03,1,"9330161.03","British Columbia",FALSE,6493,6500,FALSE,-0.1,2503,2487,2.33,2783.8,NA,0.000154012012937009
"7",9330161.05,4,"9330161.05","British Columbia",FALSE,5747,5753,FALSE,-0.1,2120,2040,1.61,3566.5,NA,0.000696015312336871
"8",9330161.06,2,"9330161.06","British Columbia",FALSE,4330,4362,FALSE,-0.7,1779,1759,3.7,1168.9,NA,0.00046189376443418
"9",9330162.01,7,"9330162.01","British Columbia",FALSE,5746,5852,FALSE,-1.8,1926,1830,2.15,2666.9,NA,0.00121823877479986
"10",9330162.02,3,"9330162.02","British Columbia",FALSE,6510,6372,FALSE,2.2,2110,2000,2.08,3131.5,NA,0.000460829493087558
"11",9330162.03,5,"9330162.03","British Columbia",FALSE,7683,7599,FALSE,1.1,2644,2341,1.66,4635.6,NA,0.00065078745281791
"12",9330162.04,3,"9330162.04","British Columbia",FALSE,5755,5892,FALSE,-2.3,1903,1875,4.92,1169,NA,0.00052128583840139
"13",9330163.01,2,"9330163.01","British Columbia",FALSE,5874,4787,FALSE,22.7,1989,1872,1.7,3445.8,NA,0.000340483486550902
"14",9330163.04,5,"9330163.04","British Columbia",FALSE,5668,5406,FALSE,4.8,1932,1825,2.67,2121.1,NA,0.000882145377558222
"15",9330163.05,2,"9330163.05","British Columbia",FALSE,5530,5263,FALSE,5.1,1953,1812,1.64,3364.6,NA,0.000361663652802893
"16",9330163.06,2,"9330163.06","British Columbia",FALSE,4329,4031,FALSE,7.4,1455,1355,0.99,4394,NA,0.000462000462000462
"17",9330163.07,2,"9330163.07","British Columbia",FALSE,4891,4716,FALSE,3.7,1616,1490,1.32,3709.2,NA,0.000408914332447352
"18",9330163.08,1,"9330163.08","British Columbia",FALSE,4031,4022,FALSE,0.2,1397,1265,1.26,3203,NA,0.000248077400148846
