"","CTname","X","Freq","HRNAME","Population..2001..100..data.","incidence","Median.family.income.."
"1",9330160.01,1,5,"Fraser South                                                ",4661,0.0010727311735679,87974
"2",9330160.02,2,2,"Fraser South                                                ",6963,0.000287232514720666,76260
"3",9330160.03,3,6,"Fraser South                                                ",5917,0.00101402737873923,82021
"4",9330160.04,4,1,"Fraser South                                                ",3543,0.000282246683601468,72031
"5",9330161.01,5,1,"Fraser South                                                ",3790,0.000263852242744063,68842
"6",9330161.02,6,2,"Fraser South                                                ",5451,0.000366905155017428,66817
"7",9330161.03,7,1,"Fraser South                                                ",6699,0.000149276011344977,80127
"8",9330161.05,8,4,"Fraser South                                                ",5583,0.000716460684219953,67850
"9",9330161.06,9,2,"Fraser South                                                ",2714,0.000736919675755343,82500
"10",9330162.01,10,7,"Fraser South                                                ",5937,0.00117904665656055,75850
"11",9330162.02,11,3,"Fraser South                                                ",6489,0.000462320850670365,75185
"12",9330162.03,12,5,"Fraser South                                                ",6787,0.000736702519522617,53881
"13",9330162.04,13,3,"Fraser South                                                ",6168,0.000486381322957198,81172
"14",9330163.01,14,2,"Fraser South                                                ",3833,0.000521784503000261,71727
"15",9330163.04,15,5,"Fraser South                                                ",5410,0.000924214417744917,72546
"16",9330163.05,16,2,"Fraser South                                                ",5059,0.000395335046451868,53492
"17",9330163.06,17,2,"Fraser South                                                ",4040,0.000495049504950495,56219
"18",9330163.07,18,2,"Fraser South                                                ",4541,0.000440431622990531,61354
"19",9330163.08,19,1,"Fraser South                                                ",3844,0.000260145681581686,62518
"20",9330170.03,20,5,"Fraser South                                                ",3240,0.00154320987654321,49070
"21",9330170.04,21,2,"Fraser South                                                ",5245,0.000381315538608198,76936
"22",9330170.05,22,0,"Fraser South                                                ",2269,0,43220
"23",9330170.06,23,5,"Fraser South                                                ",7496,0.000667022411953042,68635
"24",9330180,24,7,"Fraser South                                                ",8199,0.000853762653982193,75596
"25",9330181.01,25,3,"Fraser South                                                ",7368,0.000407166123778502,59139
"26",9330181.03,26,2,"Fraser South                                                ",5419,0.000369071784462078,81161
"27",9330181.04,27,2,"Fraser South                                                ",6993,0.000286000286000286,71401
"28",9330181.05,28,5,"Fraser South                                                ",7148,0.000699496362618914,55950
"29",9330181.06,29,4,"Fraser South                                                ",5011,0.000798243863500299,60623
"30",9330181.07,30,0,"Fraser South                                                ",3597,0,94022
"31",9330181.08,31,2,"Fraser South                                                ",2476,0.000807754442649435,78395
"32",9330181.09,32,2,"Fraser South                                                ",6253,0.000319846473692628,93300
"33",9330182.01,33,2,"Fraser South                                                ",2846,0.000702740688685875,74542
"34",9330182.02,34,3,"Fraser South                                                ",307,0.00977198697068404,46294
"35",9330182.03,35,2,"Fraser South                                                ",3432,0.000582750582750583,67016
"36",9330182.04,36,1,"Fraser South                                                ",1477,0.000677048070412999,98873
"37",9330182.05,37,1,"Fraser South                                                ",2794,0.000357909806728704,62611
"38",9330182.06,38,1,"Fraser South                                                ",1203,0.000831255195344971,64861
"39",9330183.01,39,2,"Fraser South                                                ",5959,0.000335626783017285,69013
"40",9330183.03,40,3,"Fraser South                                                ",5853,0.000512557662737058,57947
"41",9330183.04,41,0,"Fraser South                                                ",1776,0,58072
