"","DAuid","PostCode","CTname","HRNAME"
"1",59151839,"V3R5W1",182.05,"Fraser South                                                "
"2",59151842,"V4N2P4",188.04,"Fraser South                                                "
"3",59151842,"V4N2B8",188.04,"Fraser South                                                "
"4",59151843,"V4N3B5",187.06,"Fraser South                                                "
"5",59151844,"V4N3B4",187.06,"Fraser South                                                "
"6",59151848,"V3S7A5",187.09,"Fraser South                                                "
"7",59151851,"V3R9B7",187.09,"Fraser South                                                "
"8",59151852,"V3R9B1",187.09,"Fraser South                                                "
"9",59151855,"V3R7G1",189.1,"Fraser South                                                "
"10",59151857,"V3R9Z2",189.05,"Fraser South                                                "
"11",59151860,"V3R7V8",189.1,"Fraser South                                                "
"12",59151862,"V3R0M7",189.05,"Fraser South                                                "
"13",59151866,"V3R0M5",189.05,"Fraser South                                                "
"14",59151869,"V3R3X4",189.08,"Fraser South                                                "
"15",59151871,"V3R1V3",189.08,"Fraser South                                                "
"16",59151874,"V3R6S6",189.03,"Fraser South                                                "
"17",59151875,"V3R4C5",189.08,"Fraser South                                                "
"18",59151879,"V3R1W6",189.07,"Fraser South                                                "
"19",59151879,"V3R4J9",189.07,"Fraser South                                                "
"20",59151879,"V3R1W6",189.07,"Fraser South                                                "
"21",59151885,"V3R7P7",189.09,"Fraser South                                                "
"22",59151890,"V4N1V5",188.03,"Fraser South                                                "
"23",59151894,"V4N1R3",188.03,"Fraser South                                                "
"24",59151894,"V3S0G5",188.03,"Fraser South                                                "
"25",59151894,"V4N4X9",188.03,"Fraser South                                                "
"26",59151895,"V4N4X3",188.01,"Fraser South                                                "
"27",59151897,"V4N5B7",188.01,"Fraser South                                                "
"28",59151908,"V3R5G5",190.04,"Fraser South                                                "
"29",59151908,"V3R5M5",190.04,"Fraser South                                                "
"30",59151918,"V3R5L2",190.05,"Fraser South                                                "
"31",59151923,"V3T2P4",191.02,"Fraser South                                                "
"32",59151928,"V3T1Z2",191.02,"Fraser South                                                "
"33",59151932,"V3T4K7",190.03,"Fraser South                                                "
"34",59151932,"V3T4W3",190.03,"Fraser South                                                "
"35",59151933,"V3T4L3",190.03,"Fraser South                                                "
"36",59151933,"V3T4L8",190.03,"Fraser South                                                "
"37",59151937,"V3R1V7",190.03,"Fraser South                                                "
"38",59151937,"V3R1S9",190.03,"Fraser South                                                "
"39",59151941,"V3R6A9",189.06,"Fraser South                                                "
"40",59151942,"V3T4T9",189.06,"Fraser South                                                "
"41",59151944,"V3T4V2",189.06,"Fraser South                                                "
"42",59151944,"V3T4T8",189.06,"Fraser South                                                "
"43",59151944,"V3T1T1",189.06,"Fraser South                                                "
"44",59151945,"V3T4X9",190.01,"Fraser South                                                "
"45",59151947,"V3T1L4",190.01,"Fraser South                                                "
"46",59151947,"V3T1P1",190.01,"Fraser South                                                "
"47",59151950,"V3T4J3",190.01,"Fraser South                                                "
"48",59151953,"V3V5Y4",187.04,"Fraser South                                                "
"49",59151959,"V3V6L8",187.05,"Fraser South                                                "
"50",59151968,"V3W0P9",185.15,"Fraser South                                                "
