"","CTname","Freq","ï..CENSUS_YEAR","GEO_CODE..POR.","GEO_LEVEL","GNR","DATA_QUALITY_FLAG","ALT_GEO_CODE","DIM..Household.type.including.census.family.structure..11.","a","Notes..Household.type.including.census.family.structure..11.","Dim..Household.income.statistics..3...Member.ID...1...Total...Household.income.statistics..Note..3.","Dim..Household.income.statistics..3...Member.ID...2...Median.total.income.of.households....","Dim..Household.income.statistics..3...Member.ID...3...Median.after.tax.income.of.households...."
"1","160.01",5,2016,9330160.01,2,2.4,0,933016001,"Census family households",2,NA,"1395","136448","112213"
"2","160.02",2,2016,9330160.02,2,2.9,0,933016002,"Census family households",2,NA,"2165","113690","96683"
"3","160.03",6,2016,9330160.03,2,3.2,0,933016003,"Census family households",2,NA,"1630","121344","101490"
"4","160.04",1,2016,9330160.04,2,3.4,0,933016004,"Census family households",2,NA,"1155","103083","88883"
"5","161.02",2,2016,9330161.02,2,3.4,0,933016102,"Census family households",2,NA,"1550","108288","91904"
"6","161.03",1,2016,9330161.03,2,2.7,0,933016103,"Census family households",2,NA,"1860","112435","95707"
"7","161.05",4,2016,9330161.05,2,3.2,0,933016105,"Census family households",2,NA,"1625","109024","93152"
"8","161.06",2,2016,9330161.06,2,2.5,0,933016106,"Census family households",2,NA,"1355","118816","100192"
"9","162.01",7,2016,9330162.01,2,3.1,0,933016201,"Census family households",2,NA,"1585","109056","93867"
"10","162.02",3,2016,9330162.02,2,2.7,0,933016202,"Census family households",2,NA,"1755","112589","96000"
"11","162.03",5,2016,9330162.03,2,3.4,0,933016203,"Census family households",2,NA,"1795","89376","79332"
"12","162.04",3,2016,9330162.04,2,2.5,0,933016204,"Census family households",2,NA,"1680","125806","106803"
"13","163.01",2,2016,9330163.01,2,2.5,0,933016301,"Census family households",2,NA,"1650","109099","94464"
"14","163.04",5,2016,9330163.04,2,3,0,933016304,"Census family households",2,NA,"1580","116181","99136"
"15","163.05",2,2016,9330163.05,2,3.3,0,933016305,"Census family households",2,NA,"1300","90065","79957"
"16","163.06",2,2016,9330163.06,2,3.4,0,933016306,"Census family households",2,NA,"1050","90317","78848"
"17","163.07",2,2016,9330163.07,2,2.5,0,933016307,"Census family households",2,NA,"1220","94251","82688"
"18","163.08",1,2016,9330163.08,2,3,0,933016308,"Census family households",2,NA,"1065","99584","86272"
"19","170.03",5,2016,9330170.03,2,4.8,0,933017003,"Census family households",2,NA,"975","75072","66381"
"20","170.04",2,2016,9330170.04,2,7.9,0,933017004,"Census family households",2,NA,"1460","111488","94592"
"21","181.03",2,2016,9330181.03,2,3.1,0,933018103,"Census family households",2,NA,"1480","125838","105062"
"22","181.05",5,2016,9330181.05,2,4.5,0,933018105,"Census family households",2,NA,"2105","81818","71339"
"23","181.08",2,2016,9330181.08,2,2.9,0,933018108,"Census family households",2,NA,"785","119552","101248"
"24","181.09",2,2016,9330181.09,2,4.3,0,933018109,"Census family households",2,NA,"1815","114464","97081"
"25","182.01",2,2016,9330182.01,2,9.7,100,933018201,"Census family households",2,NA,"1190","123733","105882"
"26","182.02",3,2016,9330182.02,2,2.5,0,933018202,"Census family households",2,NA,"1740","128384","108698"
"27","182.03",2,2016,9330182.03,2,3.2,0,933018203,"Census family households",2,NA,"1025","114944","98432"
"28","182.04",1,2016,9330182.04,2,2.6,0,933018204,"Census family households",2,NA,"490","132352","113493"
"29","182.05",1,2016,9330182.05,2,2.7,0,933018205,"Census family households",2,NA,"1945","110234","94677"
"30","182.06",1,2016,9330182.06,2,4.2,100,933018206,"Census family households",2,NA,"315","103253","92160"
"31","183.01",2,2016,9330183.01,2,3.1,0,933018301,"Census family households",2,NA,"1690","107008","91955"
"32","183.03",3,2016,9330183.03,2,4.7,0,933018303,"Census family households",2,NA,"1590","92900","81294"
"33","183.05",2,2016,9330183.05,2,2.3,0,933018305,"Census family households",2,NA,"3065","117888","99960"
"34","183.06",2,2016,9330183.06,2,2.4,0,933018306,"Census family households",2,NA,"685","94016","79787"
"35","183.07",3,2016,9330183.07,2,2.5,0,933018307,"Census family households",2,NA,"1945","116139","98944"
"36","184.02",2,2016,9330184.02,2,6.6,100,933018402,"Census family households",2,NA,"1975","74432","65869"
"37","184.06",2,2016,9330184.06,2,4,100,933018406,"Census family households",2,NA,"2315","89228","79714"
"38","184.07",2,2016,9330184.07,2,4.8,100,933018407,"Census family households",2,NA,"1345","77248","69376"
"39","184.08",2,2016,9330184.08,2,3.9,0,933018408,"Census family households",2,NA,"1315","87808","78464"
"40","184.1",2,2016,9330184.1,2,5.3,100,933018410,"Census family households",2,NA,"1175","96512","85675"
